target_time_h	actual_dumux_time_h	offset_minutes	archived_file	original_file
78.000000	78.091388888889	+5.483333333	dumux_homogeneousSand2_head4p5m_078h.vtu	drywell_homogeneousSand2_uniformThetaIC_head4p5m_4d6d_gasAdvON_720h_1h-00078.vtu
84.000000	84.091388888889	+5.483333333	dumux_homogeneousSand2_head4p5m_084h.vtu	drywell_homogeneousSand2_uniformThetaIC_head4p5m_4d6d_gasAdvON_720h_1h-00084.vtu
90.000000	90.091388888889	+5.483333333	dumux_homogeneousSand2_head4p5m_090h.vtu	drywell_homogeneousSand2_uniformThetaIC_head4p5m_4d6d_gasAdvON_720h_1h-00090.vtu
96.000000	96.000000000000	+0.000000000	dumux_homogeneousSand2_head4p5m_096h.vtu	drywell_homogeneousSand2_uniformThetaIC_head4p5m_4d6d_gasAdvON_720h_1h-00096.vtu
102.000000	102.037777777778	+2.266666667	dumux_homogeneousSand2_head4p5m_102h.vtu	drywell_homogeneousSand2_uniformThetaIC_head4p5m_4d6d_gasAdvON_720h_1h-00102.vtu
108.000000	108.025833333333	+1.550000000	dumux_homogeneousSand2_head4p5m_108h.vtu	drywell_homogeneousSand2_uniformThetaIC_head4p5m_4d6d_gasAdvON_720h_1h-00108.vtu
114.000000	114.025833333333	+1.550000000	dumux_homogeneousSand2_head4p5m_114h.vtu	drywell_homogeneousSand2_uniformThetaIC_head4p5m_4d6d_gasAdvON_720h_1h-00114.vtu
120.000000	120.025833333333	+1.550000000	dumux_homogeneousSand2_head4p5m_120h.vtu	drywell_homogeneousSand2_uniformThetaIC_head4p5m_4d6d_gasAdvON_720h_1h-00120.vtu
126.000000	126.025833333333	+1.550000000	dumux_homogeneousSand2_head4p5m_126h.vtu	drywell_homogeneousSand2_uniformThetaIC_head4p5m_4d6d_gasAdvON_720h_1h-00126.vtu
132.000000	132.025833333333	+1.550000000	dumux_homogeneousSand2_head4p5m_132h.vtu	drywell_homogeneousSand2_uniformThetaIC_head4p5m_4d6d_gasAdvON_720h_1h-00132.vtu
138.000000	138.025833333333	+1.550000000	dumux_homogeneousSand2_head4p5m_138h.vtu	drywell_homogeneousSand2_uniformThetaIC_head4p5m_4d6d_gasAdvON_720h_1h-00138.vtu
144.000000	144.025833333333	+1.550000000	dumux_homogeneousSand2_head4p5m_144h.vtu	drywell_homogeneousSand2_uniformThetaIC_head4p5m_4d6d_gasAdvON_720h_1h-00144.vtu
150.000000	150.025833333333	+1.550000000	dumux_homogeneousSand2_head4p5m_150h.vtu	drywell_homogeneousSand2_uniformThetaIC_head4p5m_4d6d_gasAdvON_720h_1h-00150.vtu
156.000000	156.025833333333	+1.550000000	dumux_homogeneousSand2_head4p5m_156h.vtu	drywell_homogeneousSand2_uniformThetaIC_head4p5m_4d6d_gasAdvON_720h_1h-00156.vtu
162.000000	162.025833333333	+1.550000000	dumux_homogeneousSand2_head4p5m_162h.vtu	drywell_homogeneousSand2_uniformThetaIC_head4p5m_4d6d_gasAdvON_720h_1h-00162.vtu
168.000000	168.025833333333	+1.550000000	dumux_homogeneousSand2_head4p5m_168h.vtu	drywell_homogeneousSand2_uniformThetaIC_head4p5m_4d6d_gasAdvON_720h_1h-00168.vtu
174.000000	174.025833333333	+1.550000000	dumux_homogeneousSand2_head4p5m_174h.vtu	drywell_homogeneousSand2_uniformThetaIC_head4p5m_4d6d_gasAdvON_720h_1h-00174.vtu
180.000000	180.025833333333	+1.550000000	dumux_homogeneousSand2_head4p5m_180h.vtu	drywell_homogeneousSand2_uniformThetaIC_head4p5m_4d6d_gasAdvON_720h_1h-00180.vtu
186.000000	186.025833333333	+1.550000000	dumux_homogeneousSand2_head4p5m_186h.vtu	drywell_homogeneousSand2_uniformThetaIC_head4p5m_4d6d_gasAdvON_720h_1h-00186.vtu
192.000000	192.025833333333	+1.550000000	dumux_homogeneousSand2_head4p5m_192h.vtu	drywell_homogeneousSand2_uniformThetaIC_head4p5m_4d6d_gasAdvON_720h_1h-00192.vtu
198.000000	198.025833333333	+1.550000000	dumux_homogeneousSand2_head4p5m_198h.vtu	drywell_homogeneousSand2_uniformThetaIC_head4p5m_4d6d_gasAdvON_720h_1h-00198.vtu
204.000000	204.025833333333	+1.550000000	dumux_homogeneousSand2_head4p5m_204h.vtu	drywell_homogeneousSand2_uniformThetaIC_head4p5m_4d6d_gasAdvON_720h_1h-00204.vtu
210.000000	210.025833333333	+1.550000000	dumux_homogeneousSand2_head4p5m_210h.vtu	drywell_homogeneousSand2_uniformThetaIC_head4p5m_4d6d_gasAdvON_720h_1h-00210.vtu
216.000000	216.025833333333	+1.550000000	dumux_homogeneousSand2_head4p5m_216h.vtu	drywell_homogeneousSand2_uniformThetaIC_head4p5m_4d6d_gasAdvON_720h_1h-00216.vtu
222.000000	222.025833333333	+1.550000000	dumux_homogeneousSand2_head4p5m_222h.vtu	drywell_homogeneousSand2_uniformThetaIC_head4p5m_4d6d_gasAdvON_720h_1h-00222.vtu
228.000000	228.025833333333	+1.550000000	dumux_homogeneousSand2_head4p5m_228h.vtu	drywell_homogeneousSand2_uniformThetaIC_head4p5m_4d6d_gasAdvON_720h_1h-00228.vtu
234.000000	234.025833333333	+1.550000000	dumux_homogeneousSand2_head4p5m_234h.vtu	drywell_homogeneousSand2_uniformThetaIC_head4p5m_4d6d_gasAdvON_720h_1h-00234.vtu
240.000000	240.000000000000	+0.000000000	dumux_homogeneousSand2_head4p5m_240h.vtu	drywell_homogeneousSand2_uniformThetaIC_head4p5m_4d6d_gasAdvON_720h_1h-00240.vtu
246.000000	246.025277777778	+1.516666667	dumux_homogeneousSand2_head4p5m_246h.vtu	drywell_homogeneousSand2_uniformThetaIC_head4p5m_4d6d_gasAdvON_720h_1h-00246.vtu
252.000000	252.025277777778	+1.516666667	dumux_homogeneousSand2_head4p5m_252h.vtu	drywell_homogeneousSand2_uniformThetaIC_head4p5m_4d6d_gasAdvON_720h_1h-00252.vtu
258.000000	258.025277777778	+1.516666667	dumux_homogeneousSand2_head4p5m_258h.vtu	drywell_homogeneousSand2_uniformThetaIC_head4p5m_4d6d_gasAdvON_720h_1h-00258.vtu
264.000000	264.025277777778	+1.516666667	dumux_homogeneousSand2_head4p5m_264h.vtu	drywell_homogeneousSand2_uniformThetaIC_head4p5m_4d6d_gasAdvON_720h_1h-00264.vtu
270.000000	270.025277777778	+1.516666667	dumux_homogeneousSand2_head4p5m_270h.vtu	drywell_homogeneousSand2_uniformThetaIC_head4p5m_4d6d_gasAdvON_720h_1h-00270.vtu
276.000000	276.025277777778	+1.516666667	dumux_homogeneousSand2_head4p5m_276h.vtu	drywell_homogeneousSand2_uniformThetaIC_head4p5m_4d6d_gasAdvON_720h_1h-00276.vtu
282.000000	282.025000000000	+1.500000000	dumux_homogeneousSand2_head4p5m_282h.vtu	drywell_homogeneousSand2_uniformThetaIC_head4p5m_4d6d_gasAdvON_720h_1h-00282.vtu
288.000000	288.025000000000	+1.500000000	dumux_homogeneousSand2_head4p5m_288h.vtu	drywell_homogeneousSand2_uniformThetaIC_head4p5m_4d6d_gasAdvON_720h_1h-00288.vtu
294.000000	294.025000000000	+1.500000000	dumux_homogeneousSand2_head4p5m_294h.vtu	drywell_homogeneousSand2_uniformThetaIC_head4p5m_4d6d_gasAdvON_720h_1h-00294.vtu
300.000000	300.025000000000	+1.500000000	dumux_homogeneousSand2_head4p5m_300h.vtu	drywell_homogeneousSand2_uniformThetaIC_head4p5m_4d6d_gasAdvON_720h_1h-00300.vtu
306.000000	306.025000000000	+1.500000000	dumux_homogeneousSand2_head4p5m_306h.vtu	drywell_homogeneousSand2_uniformThetaIC_head4p5m_4d6d_gasAdvON_720h_1h-00306.vtu
312.000000	312.025000000000	+1.500000000	dumux_homogeneousSand2_head4p5m_312h.vtu	drywell_homogeneousSand2_uniformThetaIC_head4p5m_4d6d_gasAdvON_720h_1h-00312.vtu
318.000000	318.025000000000	+1.500000000	dumux_homogeneousSand2_head4p5m_318h.vtu	drywell_homogeneousSand2_uniformThetaIC_head4p5m_4d6d_gasAdvON_720h_1h-00318.vtu
324.000000	324.025000000000	+1.500000000	dumux_homogeneousSand2_head4p5m_324h.vtu	drywell_homogeneousSand2_uniformThetaIC_head4p5m_4d6d_gasAdvON_720h_1h-00324.vtu
330.000000	330.025000000000	+1.500000000	dumux_homogeneousSand2_head4p5m_330h.vtu	drywell_homogeneousSand2_uniformThetaIC_head4p5m_4d6d_gasAdvON_720h_1h-00330.vtu
336.000000	336.000000000000	+0.000000000	dumux_homogeneousSand2_head4p5m_336h.vtu	drywell_homogeneousSand2_uniformThetaIC_head4p5m_4d6d_gasAdvON_720h_1h-00336.vtu
342.000000	342.041666666667	+2.500000000	dumux_homogeneousSand2_head4p5m_342h.vtu	drywell_homogeneousSand2_uniformThetaIC_head4p5m_4d6d_gasAdvON_720h_1h-00342.vtu
348.000000	348.008333333333	+0.500000000	dumux_homogeneousSand2_head4p5m_348h.vtu	drywell_homogeneousSand2_uniformThetaIC_head4p5m_4d6d_gasAdvON_720h_1h-00348.vtu
354.000000	354.008333333333	+0.500000000	dumux_homogeneousSand2_head4p5m_354h.vtu	drywell_homogeneousSand2_uniformThetaIC_head4p5m_4d6d_gasAdvON_720h_1h-00354.vtu
360.000000	360.008333333333	+0.500000000	dumux_homogeneousSand2_head4p5m_360h.vtu	drywell_homogeneousSand2_uniformThetaIC_head4p5m_4d6d_gasAdvON_720h_1h-00360.vtu
366.000000	366.008333333333	+0.500000000	dumux_homogeneousSand2_head4p5m_366h.vtu	drywell_homogeneousSand2_uniformThetaIC_head4p5m_4d6d_gasAdvON_720h_1h-00366.vtu
372.000000	372.008333333333	+0.500000000	dumux_homogeneousSand2_head4p5m_372h.vtu	drywell_homogeneousSand2_uniformThetaIC_head4p5m_4d6d_gasAdvON_720h_1h-00372.vtu
378.000000	378.008333333333	+0.500000000	dumux_homogeneousSand2_head4p5m_378h.vtu	drywell_homogeneousSand2_uniformThetaIC_head4p5m_4d6d_gasAdvON_720h_1h-00378.vtu
384.000000	384.008333333333	+0.500000000	dumux_homogeneousSand2_head4p5m_384h.vtu	drywell_homogeneousSand2_uniformThetaIC_head4p5m_4d6d_gasAdvON_720h_1h-00384.vtu
390.000000	390.008333333333	+0.500000000	dumux_homogeneousSand2_head4p5m_390h.vtu	drywell_homogeneousSand2_uniformThetaIC_head4p5m_4d6d_gasAdvON_720h_1h-00390.vtu
396.000000	396.008333333333	+0.500000000	dumux_homogeneousSand2_head4p5m_396h.vtu	drywell_homogeneousSand2_uniformThetaIC_head4p5m_4d6d_gasAdvON_720h_1h-00396.vtu
402.000000	402.008333333333	+0.500000000	dumux_homogeneousSand2_head4p5m_402h.vtu	drywell_homogeneousSand2_uniformThetaIC_head4p5m_4d6d_gasAdvON_720h_1h-00402.vtu
