model,time_s,time_h,scheduled_head_cm,effective_positive_head_m,inflow_m3_s,outflow_m3_s,net_inflow_m3_s,cumulative_inflow_m3,cumulative_outflow_m3,cumulative_net_m3
drywell_12m,0.0,0.0,1200.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
drywell_12m,21618.3,6.005083333333333,1200.0,6.005083333333333,0.003198328351931249,1.3219333047122688e-07,0.003198196158600778,34.57121090527766,0.001428897538063062,34.5697820077396
drywell_12m,43200.0,12.0,1200.0,12.0,0.013458416437543388,0.0,0.013458416437543388,214.31164541678004,0.0028553759381785004,214.30879004084187
drywell_12m,64828.9,18.008027777777777,1200.0,12.0,0.01083751936968591,0.0,0.01083751936968591,477.05882840727094,0.0028553759381785004,477.05597303133277
drywell_12m,86764.2,24.101166666666664,1200.0,12.0,0.010107296640952475,0.0,0.010107296640952475,706.7742397263489,0.0028553759381785004,706.7713843504107
drywell_12m,108048.0,30.013333333333332,1200.0,12.0,0.00964162575352403,0.0,0.00964162575352403,916.9402969561285,0.0028553759381785004,916.9374415801902
drywell_12m,129660.0,36.016666666666666,1200.0,12.0,0.009342542499494235,0.0,0.009342542499494235,1122.0832190982437,0.0028553759381785004,1122.0803637223055
drywell_12m,151288.0,42.02444444444444,1200.0,12.0,0.009107567298070952,0.0,0.009107567298070952,1321.6027064491136,0.0028553759381785004,1321.5998510731754
drywell_12m,172877.0,48.021388888888886,1200.0,12.0,0.00894198172521592,0.0,0.00894198172521592,1516.4385633809839,0.0028553759381785004,1516.4357080050456
drywell_12m,194520.0,54.03333333333333,1200.0,12.0,0.008845160595524832,0.0,0.008845160595524832,1708.9221240048798,0.0028553759381785004,1708.9192686289416
drywell_12m,216023.0,60.006388888888885,1200.0,12.0,0.008732700192054748,0.0,0.008732700192054748,1897.9104942625418,0.0028553759381785004,1897.9076388866035
drywell_12m,237612.0,66.00333333333333,1200.0,12.0,0.008644934913124003,0.0,0.008644934913124003,2085.493376405394,0.0028553759381785004,2085.490521029456
drywell_12m,259262.0,72.01722222222222,1200.0,12.0,0.008496279622034536,0.0,0.008496279622034536,2271.047023748485,0.0028553759381785004,2271.044168372547
drywell_12m,280901.0,78.02805555555555,1200.0,12.0,0.00835095240717391,0.0,0.00835095240717391,2453.325650688506,0.0028553759381785004,2453.322795312568
drywell_12m,302535.0,84.0375,1200.0,12.0,0.008178979859199102,0.0,0.008178979859199102,2632.129928013863,0.0028553759381785004,2632.127072637925
drywell_12m,324050.0,90.01388888888889,1200.0,12.0,0.007939989895177909,0.0,0.007939989895177909,2805.5297451465735,0.0028553759381785004,2805.5268897706355
drywell_12m,345600.0,96.0,1200.0,12.0,0.00768619680947381,0.0,0.00768619680947381,2973.9019068891957,0.0028553759381785004,2973.8990515132577
drywell_12m,367300.0,102.02777777777777,-25.0,0.0,0.0,0.0,0.0,3057.2971422719866,0.0028553759381785004,3057.2942868960486
drywell_12m,388810.0,108.00277777777778,-25.0,0.0,0.0,0.0,0.0,3057.2971422719866,0.0028553759381785004,3057.2942868960486
drywell_12m,410633.0,114.06472222222222,-25.0,0.0,0.0,0.0,0.0,3057.2971422719866,0.0028553759381785004,3057.2942868960486
drywell_12m,432335.0,120.09305555555555,-25.0,0.0,0.0,0.0,0.0,3057.2971422719866,0.0028553759381785004,3057.2942868960486
drywell_12m,453671.0,126.01972222222223,-25.0,0.0,0.0,0.0,0.0,3057.2971422719866,0.0028553759381785004,3057.2942868960486
drywell_12m,475289.0,132.0247222222222,-25.0,0.0,0.0,0.0,0.0,3057.2971422719866,0.0028553759381785004,3057.2942868960486
drywell_12m,496819.0,138.0052777777778,-25.0,0.0,0.0,0.0,0.0,3057.2971422719866,0.0028553759381785004,3057.2942868960486
drywell_12m,518491.0,144.02527777777777,-25.0,0.0,0.0,0.0,0.0,3057.2971422719866,0.0028553759381785004,3057.2942868960486
drywell_12m,540154.0,150.0427777777778,-25.0,0.0,0.0,0.0,0.0,3057.2971422719866,0.0028553759381785004,3057.2942868960486
drywell_12m,561713.0,156.0313888888889,-25.0,0.0,0.0,0.0,0.0,3057.2971422719866,0.0028553759381785004,3057.2942868960486
drywell_12m,583344.0,162.04,-25.0,0.0,0.0,0.0,0.0,3057.2971422719866,0.0028553759381785004,3057.2942868960486
drywell_12m,604932.0,168.03666666666666,-25.0,0.0,0.0,0.0,0.0,3057.2971422719866,0.0028553759381785004,3057.2942868960486
drywell_12m,626694.0,174.08166666666668,-25.0,0.0,0.0,0.0,0.0,3057.2971422719866,0.0028553759381785004,3057.2942868960486
drywell_12m,648085.0,180.0236111111111,-25.0,0.0,0.0,0.0,0.0,3057.2971422719866,0.0028553759381785004,3057.2942868960486
drywell_12m,669875.0,186.07638888888889,-25.0,0.0,0.0,0.0,0.0,3057.2971422719866,0.0028553759381785004,3057.2942868960486
drywell_12m,691475.0,192.07638888888889,-25.0,0.0,0.0,0.0,0.0,3057.2971422719866,0.0028553759381785004,3057.2942868960486
drywell_12m,713075.0,198.07638888888889,-25.0,0.0,0.0,0.0,0.0,3057.2971422719866,0.0028553759381785004,3057.2942868960486
drywell_12m,734675.0,204.07638888888889,-25.0,0.0,0.0,0.0,0.0,3057.2971422719866,0.0028553759381785004,3057.2942868960486
drywell_12m,756275.0,210.07638888888889,-25.0,0.0,0.0,0.0,0.0,3057.2971422719866,0.0028553759381785004,3057.2942868960486
drywell_12m,777875.0,216.07638888888889,-25.0,0.0,0.0,0.0,0.0,3057.2971422719866,0.0028553759381785004,3057.2942868960486
drywell_12m,799475.0,222.07638888888889,-25.0,0.0,0.0,0.0,0.0,3057.2971422719866,0.0028553759381785004,3057.2942868960486
drywell_12m,821075.0,228.07638888888889,-25.0,0.0,0.0,0.0,0.0,3057.2971422719866,0.0028553759381785004,3057.2942868960486
drywell_12m,842675.0,234.07638888888889,-25.0,0.0,0.0,0.0,0.0,3057.2971422719866,0.0028553759381785004,3057.2942868960486
drywell_12m,864000.0,240.0,-25.0,0.0,0.0,0.0,0.0,3057.2971422719866,0.0028553759381785004,3057.2942868960486
drywell_12m,885603.0,246.00083333333333,1200.0,12.0,0.01156317053090343,0.0,0.01156317053090343,3182.19672876154,0.0028553759381785004,3182.193873385602
drywell_12m,907271.0,252.0197222222222,1200.0,12.0,0.008976433685227743,0.0,0.008976433685227743,3404.722800839105,0.0028553759381785004,3404.719945463167
drywell_12m,929049.0,258.06916666666666,1200.0,12.0,0.008171336297586982,0.0,0.008171336297586982,3591.4448681819745,0.0028553759381785004,3591.4420128060365
drywell_12m,950853.0,264.12583333333333,1200.0,12.0,0.007717978425720927,0.0,0.007717978425720927,3764.6701772954775,0.0028553759381785004,3764.6673219195395
drywell_12m,972278.0,270.07722222222225,1200.0,12.0,0.007404105382264646,0.0,0.007404105382264646,3926.665500088523,0.0028553759381785004,3926.662644712585
drywell_12m,993785.0,276.0513888888889,1200.0,12.0,0.007127449692489534,0.0,0.007127449692489534,4082.930577584892,0.0028553759381785004,4082.927722208954
drywell_12m,1015380.0,282.05,1200.0,12.0,0.006833332860427956,0.0,0.006833332860427956,4233.672127200019,0.0028553759381785004,4233.66927182408
drywell_12m,1037040.0,288.06666666666666,1200.0,12.0,0.006571596527911604,0.0,0.006571596527911604,4378.847512475736,0.0028553759381785004,4378.844657099798
drywell_12m,1058630.0,294.06388888888887,1200.0,12.0,0.0062934642142063865,0.0,0.0062934642142063865,4517.7258431868995,0.0028553759381785004,4517.722987810961
drywell_12m,1080500.0,300.1388888888889,1200.0,12.0,0.005998008983553121,0.0,0.005998008983553121,4652.1331026044,0.0028553759381785004,4652.1302472284615
drywell_12m,1102180.0,306.1611111111111,1200.0,12.0,0.0056893657142889085,0.0,0.0056893657142889085,4778.824244329007,0.0028553759381785004,4778.821388953069
drywell_12m,1123390.0,312.0527777777778,1200.0,12.0,0.0054280478146533535,0.0,0.0054280478146533535,4896.72441480344,0.0028553759381785004,4896.721559427501
drywell_12m,1144990.0,318.0527777777778,1200.0,12.0,0.005177672898295043,3.555537818258207e-06,0.0051741173604767845,5011.266198503283,0.041255184375367134,5011.224943318907
drywell_12m,1166590.0,324.0527777777778,1200.0,12.0,0.004969810764883591,2.8413680992586564e-05,0.0049413970838910045,5120.859022065612,0.38652274753249066,5120.47249931808
drywell_12m,1188030.0,330.0083333333333,1200.0,12.0,0.004787294161857209,6.228153461758631e-05,0.004725012627239623,5225.455186880274,1.358775458873544,5224.0964114214
