target_h	actual_h	original_timestep	file
0.000000	0.000000000	0	drywell_head12m_faceSymDisp_cycle2cal_480h_cycle1EQ_cycle2Wet10d-00000.vtu
6.000000	6.023083333	21683.1	drywell_head12m_faceSymDisp_cycle2cal_480h_cycle1EQ_cycle2Wet10d-00006.vtu
12.000000	12.023083333	43283.1	drywell_head12m_faceSymDisp_cycle2cal_480h_cycle1EQ_cycle2Wet10d-00012.vtu
18.000000	18.023083333	64883.1	drywell_head12m_faceSymDisp_cycle2cal_480h_cycle1EQ_cycle2Wet10d-00018.vtu
24.000000	24.023083333	86483.1	drywell_head12m_faceSymDisp_cycle2cal_480h_cycle1EQ_cycle2Wet10d-00024.vtu
30.000000	30.023055556	108083	drywell_head12m_faceSymDisp_cycle2cal_480h_cycle1EQ_cycle2Wet10d-00030.vtu
36.000000	36.023055556	129683	drywell_head12m_faceSymDisp_cycle2cal_480h_cycle1EQ_cycle2Wet10d-00036.vtu
42.000000	42.023055556	151283	drywell_head12m_faceSymDisp_cycle2cal_480h_cycle1EQ_cycle2Wet10d-00042.vtu
48.000000	48.023055556	172883	drywell_head12m_faceSymDisp_cycle2cal_480h_cycle1EQ_cycle2Wet10d-00048.vtu
54.000000	54.023055556	194483	drywell_head12m_faceSymDisp_cycle2cal_480h_cycle1EQ_cycle2Wet10d-00054.vtu
60.000000	60.023055556	216083	drywell_head12m_faceSymDisp_cycle2cal_480h_cycle1EQ_cycle2Wet10d-00060.vtu
66.000000	66.023055556	237683	drywell_head12m_faceSymDisp_cycle2cal_480h_cycle1EQ_cycle2Wet10d-00066.vtu
72.000000	72.023055556	259283	drywell_head12m_faceSymDisp_cycle2cal_480h_cycle1EQ_cycle2Wet10d-00072.vtu
78.000000	78.023055556	280883	drywell_head12m_faceSymDisp_cycle2cal_480h_cycle1EQ_cycle2Wet10d-00078.vtu
84.000000	84.023055556	302483	drywell_head12m_faceSymDisp_cycle2cal_480h_cycle1EQ_cycle2Wet10d-00084.vtu
90.000000	90.023055556	324083	drywell_head12m_faceSymDisp_cycle2cal_480h_cycle1EQ_cycle2Wet10d-00090.vtu
96.000000	96.000000000	345600	drywell_head12m_faceSymDisp_cycle2cal_480h_cycle1EQ_cycle2Wet10d-00096.vtu
102.000000	102.000000000	367200	drywell_head12m_faceSymDisp_cycle2cal_480h_cycle1EQ_cycle2Wet10d-00102.vtu
