target_time_h	actual_dumux_time_h	offset_minutes	archived_file	original_file
270.000000	270.063333333	+3.800000	dumux_270h.vtu	drywell_head4p5m_phaseguardV2_faceSymDisp_gasAdvON_720h_1h-00270.vtu
276.000000	276.063333333	+3.800000	dumux_276h.vtu	drywell_head4p5m_phaseguardV2_faceSymDisp_gasAdvON_720h_1h-00276.vtu
282.000000	282.063888889	+3.833333	dumux_282h.vtu	drywell_head4p5m_phaseguardV2_faceSymDisp_gasAdvON_720h_1h-00282.vtu
288.000000	288.063888889	+3.833333	dumux_288h.vtu	drywell_head4p5m_phaseguardV2_faceSymDisp_gasAdvON_720h_1h-00288.vtu
294.000000	294.063888889	+3.833333	dumux_294h.vtu	drywell_head4p5m_phaseguardV2_faceSymDisp_gasAdvON_720h_1h-00294.vtu
300.000000	300.063888889	+3.833333	dumux_300h.vtu	drywell_head4p5m_phaseguardV2_faceSymDisp_gasAdvON_720h_1h-00300.vtu
306.000000	306.063888889	+3.833333	dumux_306h.vtu	drywell_head4p5m_phaseguardV2_faceSymDisp_gasAdvON_720h_1h-00306.vtu
312.000000	312.063888889	+3.833333	dumux_312h.vtu	drywell_head4p5m_phaseguardV2_faceSymDisp_gasAdvON_720h_1h-00312.vtu
318.000000	318.063888889	+3.833333	dumux_318h.vtu	drywell_head4p5m_phaseguardV2_faceSymDisp_gasAdvON_720h_1h-00318.vtu
324.000000	324.063888889	+3.833333	dumux_324h.vtu	drywell_head4p5m_phaseguardV2_faceSymDisp_gasAdvON_720h_1h-00324.vtu
330.000000	330.063888889	+3.833333	dumux_330h.vtu	drywell_head4p5m_phaseguardV2_faceSymDisp_gasAdvON_720h_1h-00330.vtu
336.000000	336.000000000	+0.000000	dumux_336h.vtu	drywell_head4p5m_phaseguardV2_faceSymDisp_gasAdvON_720h_1h-00336.vtu
342.000000	342.019444444	+1.166667	dumux_342h.vtu	drywell_head4p5m_phaseguardV2_faceSymDisp_gasAdvON_720h_1h-00342.vtu
348.000000	348.019444444	+1.166667	dumux_348h.vtu	drywell_head4p5m_phaseguardV2_faceSymDisp_gasAdvON_720h_1h-00348.vtu
354.000000	354.019444444	+1.166667	dumux_354h.vtu	drywell_head4p5m_phaseguardV2_faceSymDisp_gasAdvON_720h_1h-00354.vtu
360.000000	360.019444444	+1.166667	dumux_360h.vtu	drywell_head4p5m_phaseguardV2_faceSymDisp_gasAdvON_720h_1h-00360.vtu
366.000000	366.019444444	+1.166667	dumux_366h.vtu	drywell_head4p5m_phaseguardV2_faceSymDisp_gasAdvON_720h_1h-00366.vtu
372.000000	372.005555556	+0.333333	dumux_372h.vtu	drywell_head4p5m_phaseguardV2_faceSymDisp_gasAdvON_720h_1h-00372.vtu
378.000000	378.005555556	+0.333333	dumux_378h.vtu	drywell_head4p5m_phaseguardV2_faceSymDisp_gasAdvON_720h_1h-00378.vtu
384.000000	384.005555556	+0.333333	dumux_384h.vtu	drywell_head4p5m_phaseguardV2_faceSymDisp_gasAdvON_720h_1h-00384.vtu
390.000000	390.005555556	+0.333333	dumux_390h.vtu	drywell_head4p5m_phaseguardV2_faceSymDisp_gasAdvON_720h_1h-00390.vtu
396.000000	396.005555556	+0.333333	dumux_396h.vtu	drywell_head4p5m_phaseguardV2_faceSymDisp_gasAdvON_720h_1h-00396.vtu
402.000000	402.005555556	+0.333333	dumux_402h.vtu	drywell_head4p5m_phaseguardV2_faceSymDisp_gasAdvON_720h_1h-00402.vtu
408.000000	408.005555556	+0.333333	dumux_408h.vtu	drywell_head4p5m_phaseguardV2_faceSymDisp_gasAdvON_720h_1h-00408.vtu
414.000000	414.005555556	+0.333333	dumux_414h.vtu	drywell_head4p5m_phaseguardV2_faceSymDisp_gasAdvON_720h_1h-00414.vtu
420.000000	420.005555556	+0.333333	dumux_420h.vtu	drywell_head4p5m_phaseguardV2_faceSymDisp_gasAdvON_720h_1h-00420.vtu
426.000000	426.005555556	+0.333333	dumux_426h.vtu	drywell_head4p5m_phaseguardV2_faceSymDisp_gasAdvON_720h_1h-00426.vtu
432.000000	432.005555556	+0.333333	dumux_432h.vtu	drywell_head4p5m_phaseguardV2_faceSymDisp_gasAdvON_720h_1h-00432.vtu
438.000000	438.005555556	+0.333333	dumux_438h.vtu	drywell_head4p5m_phaseguardV2_faceSymDisp_gasAdvON_720h_1h-00438.vtu
444.000000	444.005555556	+0.333333	dumux_444h.vtu	drywell_head4p5m_phaseguardV2_faceSymDisp_gasAdvON_720h_1h-00444.vtu
450.000000	450.005555556	+0.333333	dumux_450h.vtu	drywell_head4p5m_phaseguardV2_faceSymDisp_gasAdvON_720h_1h-00450.vtu
456.000000	456.005555556	+0.333333	dumux_456h.vtu	drywell_head4p5m_phaseguardV2_faceSymDisp_gasAdvON_720h_1h-00456.vtu
462.000000	462.005555556	+0.333333	dumux_462h.vtu	drywell_head4p5m_phaseguardV2_faceSymDisp_gasAdvON_720h_1h-00462.vtu
468.000000	468.005555556	+0.333333	dumux_468h.vtu	drywell_head4p5m_phaseguardV2_faceSymDisp_gasAdvON_720h_1h-00468.vtu
474.000000	474.005555556	+0.333333	dumux_474h.vtu	drywell_head4p5m_phaseguardV2_faceSymDisp_gasAdvON_720h_1h-00474.vtu
480.000000	480.000000000	+0.000000	dumux_480h.vtu	drywell_head4p5m_phaseguardV2_faceSymDisp_gasAdvON_720h_1h-00480.vtu
486.000000	486.000000000	+0.000000	dumux_486h.vtu	drywell_head4p5m_phaseguardV2_faceSymDisp_gasAdvON_720h_1h-00486.vtu
492.000000	492.000000000	+0.000000	dumux_492h.vtu	drywell_head4p5m_phaseguardV2_faceSymDisp_gasAdvON_720h_1h-00492.vtu
498.000000	498.000000000	+0.000000	dumux_498h.vtu	drywell_head4p5m_phaseguardV2_faceSymDisp_gasAdvON_720h_1h-00498.vtu
