# radius_m elevation_m xO2_liq TRUE-stagnant-O2-IC-2880h
1.15283486099999999e-01 4.88324445509999983e-02 3.28759992022070012e-10
5.33588524843999989e-01 5.94942114146666604e-02 3.28832071433454018e-10
3.12087891584999999e-01 6.25065402110000085e-02 3.28788622723936997e-10
7.62650573243999985e-01 6.26986308050000024e-02 3.28889047395694991e-10
1.00744245975800006e+00 7.19931604196666630e-02 3.28962640977491007e-10
2.19195399773000021e+00 7.32435185103333247e-02 3.29715971884269006e-10
1.26928602453333350e+00 8.06393392676666709e-02 3.29066151697898993e-10
1.56122323124999984e+00 8.20951606936666661e-02 3.29218580766876001e-10
1.87108396850333314e+00 9.61204579039999923e-02 3.29441642449854014e-10
2.93380350163999992e+00 9.61633335893333357e-02 3.30493564705808017e-10
2.53298178745333358e+00 9.95850151723333271e-02 3.30044264674782005e-10
3.55279973274666672e+00 1.07329020013666662e-01 3.31092632166033978e-10
2.23464962526333327e-01 1.11338984761999993e-01 3.28757115367586016e-10
4.87885370833333332e-02 1.15499111217999995e-01 3.28731341924160021e-10
4.28726407712000046e-01 1.22000751625666662e-01 3.28789411443166006e-10
6.52079181609666603e-01 1.22192842219666656e-01 3.28839470371557992e-10
4.31885142604666683e+00 1.22523271694999991e-01 3.31582358978249989e-10
5.15876903441666723e+00 1.31971328372666674e-01 3.31953185328216993e-10
8.83614902869000018e-01 1.34691791224666652e-01 3.28899624886623995e-10
6.06164046526333333e+00 1.49839762992333342e-01 3.32197190167024975e-10
1.13181922319999995e+00 1.52632499687333334e-01 3.28977445189688983e-10
7.04580790148666569e+00 1.62424392441000015e-01 3.32327221384118012e-10
1.40998451917000001e+00 1.62734499961333351e-01 3.29094409085475006e-10
2.03508247749333337e+00 1.69363976414333317e-01 3.29540359714843993e-10
8.06700366430666627e+00 1.72238229623666667e-01 3.32414897922072984e-10
2.36264667748333324e+00 1.72828533682666680e-01 3.29827236305377008e-10
9.15843872313999974e+00 1.73533832306666663e-01 3.32496396167648988e-10
1.71783993294666648e+00 1.78215618597666658e-01 3.29279440202186011e-10
1.03197292847199993e+01 1.78774245297000006e-01 3.32540398855696998e-10
1.15532078292333349e+01 1.87329030627000015e-01 3.32543416885474024e-10
2.72105348981000006e+00 1.95748348761666691e-01 3.30188925155378995e-10
1.28806820411999983e+01 1.99744199312999998e-01 3.32508935759680022e-10
3.21371849450333302e+00 2.03492353602999998e-01 3.30704017777160010e-10
1.42869602143333339e+01 2.10863237195666658e-01 3.32474483386657021e-10
2.11821857337999991e-01 2.14047978997999988e-01 3.28684842416581016e-10
1.03640380911666663e-01 2.18208105454000018e-01 3.28668169733652991e-10
1.89899747445333311e+01 2.18715579087000012e-01 3.32249529499510018e-10
1.57864255832666682e+01 2.20881578905666648e-01 3.32489436731705014e-10
3.91834724587666727e+00 2.29852291708666640e-01 3.31196232162701981e-10
1.73740319769666662e+01 2.31867461395666691e-01 3.32484290187931978e-10
4.60995151596000075e-01 2.39470343363333310e-01 3.28713226988418983e-10
6.61829411630333375e-01 2.46175821158333336e-01 3.28762788105333015e-10
4.70731728105333413e+00 2.54494600067666665e-01 3.31598133700110987e-10
8.74196628299666600e-01 2.56605648232333339e-01 3.28815054426876025e-10
5.57878071546333398e+00 2.81811091364999988e-01 3.31894299368283980e-10
5.75607498748666679e-01 3.00946782090999954e-01 3.28699342770741001e-10
2.76197179229666689e-01 3.02014479681333325e-01 3.28616389780319023e-10
5.48518438283333298e-02 3.02708994236999984e-01 3.28589896802235008e-10
7.62982528695333340e-01 3.08595466751333314e-01 3.28733517555345999e-10
6.53655524114333275e+00 3.12264155433333357e-01 3.32046857301572986e-10
1.10097386214666670e+00 3.15863569528333332e-01 3.28838242257028001e-10
3.91025545427333310e-01 3.16775077183000020e-01 3.28636669889279981e-10
1.39247469529333334e+00 3.29251144613666669e-01 3.28950156181557974e-10
7.55086278807666655e+00 3.34662622064666682e-01 3.32111774675027984e-10
2.09691300155666660e+00 3.39876095890000007e-01 3.29417323663374007e-10
2.31318646508666648e+00 3.43340653158333342e-01 3.29617510458988013e-10
8.60653777726666647e+00 3.45772061930333330e-01 3.32174190690151995e-10
1.69493031769333324e+00 3.51029571008999952e-01 3.29091923222398988e-10
9.73202534162999910e+00 3.52308077603666669e-01 3.32207731145963979e-10
9.67178824135333293e-01 3.57138087268333349e-01 3.28754697680522000e-10
1.09246007567333336e+01 3.66103275923999993e-01 3.32186406364517996e-10
2.74805017410666652e+00 3.84203812324000082e-01 3.30003676634089025e-10
3.20630506356333322e+00 3.85949798741333339e-01 3.30562412700580016e-10
1.22034200256000016e+01 3.87073229939999985e-01 3.32118885250097989e-10
1.13829034314333333e-01 4.04158362989333331e-01 3.28474403948948003e-10
2.26992893289333336e-01 4.07623974889666674e-01 3.28488784912321011e-10
1.22093083960333337e+00 4.10387053760999987e-01 3.28768808291551985e-10
1.35697835422333331e+01 4.10607436508666657e-01 3.32012831966778984e-10
1.52080379211999994e+00 4.21425757757333319e-01 3.28897071185018013e-10
5.69995478673333444e-01 4.23538185606666673e-01 3.28539668383493003e-10
1.50172137149666671e+01 4.31744816101333306e-01 3.31942667487925010e-10
7.66925128416000024e-01 4.33560280980666679e-01 3.28579946494404998e-10
4.60365514069333404e-01 4.36354151902333343e-01 3.28491206621616000e-10
1.80938485727666638e+01 4.50583040482666675e-01 3.31879631414141980e-10
1.65490016879666655e+01 4.52749040301333394e-01 3.31923180330426992e-10
1.99929858672333327e+00 4.58970726663000039e-01 3.29182381599034007e-10
1.81020656971666671e+00 4.61272559598666643e-01 3.29011014843644002e-10
2.95338675499666659e+00 4.67076242289999943e-01 3.30091101592370018e-10
2.41862702514333305e+00 4.70032764066333264e-01 3.29513465855295976e-10
3.84222511070333317e+00 4.72264922354999950e-01 3.30965993287689025e-10
8.93015623580333262e-01 4.72808371882999900e-01 3.28543662571695015e-10
2.61377492664666677e+00 4.87976108152999910e-01 3.29700950248975007e-10
6.60159991275666713e-01 4.93732038903333337e-01 3.28453043094119989e-10
5.89771904860000029e-02 5.01449368753999924e-01 3.28324829316739010e-10
2.86460105457999992e-01 5.02738450157000027e-01 3.28347766574646997e-10
4.64288519557666657e+00 5.07921251205333379e-01 3.31364210823893985e-10
4.05004360040333300e-01 5.16708029668000002e-01 3.28359925607378011e-10
3.46926416663333326e+00 5.32199095798333244e-01 3.30460569506487007e-10
1.95788268096333304e+01 5.52048912419666693e-01 3.31607020909406984e-10
5.50258906189000019e+00 5.54082941984333388e-01 3.31620691651320004e-10
1.20077250277666669e+00 5.78125628418333259e-01 3.28483651860696995e-10
1.49245019546333335e+00 5.91274935777999944e-01 3.28580961987129991e-10
9.14770580123666632e-01 6.02267906131999986e-01 3.28330197470683006e-10
2.39592901922666662e-01 6.10052874852333282e-01 3.28158527813141978e-10
1.25273845925666677e-01 6.12229405349666744e-01 3.28128867328948980e-10
4.17829720539666649e+00 6.18362553478999932e-01 3.30694879934100017e-10
1.76722043738333334e+00 6.24029172104333285e-01 3.28683262753513024e-10
6.57680816831000103e-01 6.24790764492666795e-01 3.28212343747961020e-10
2.05461912159333338e+00 6.26217414975000053e-01 3.28879697547049984e-10
4.34374296203333288e-01 6.35728253969000012e-01 3.28125252291566026e-10
2.35913397632666655e+00 6.39445043832666649e-01 3.29125147427204977e-10
6.47025378675666563e+00 6.43057805818666672e-01 3.31692358914300979e-10
2.99020993632333321e+00 6.48091408658666657e-01 3.29802556892623979e-10
5.01814529536666676e+00 6.57669830129666733e-01 3.30996378040337990e-10
1.05284914088866643e+00 6.62982375022666659e-01 3.28243214695495013e-10
2.65841040510000015e+00 6.66159798372999989e-01 3.29364832232323018e-10
1.34396276181000007e+00 6.66838897291666677e-01 3.28352443821590013e-10
7.53826558516666712e+00 6.69848089638000022e-01 3.31718006173824993e-10
1.62359058870333328e+00 6.83635361535333330e-01 3.28456664319687014e-10
8.60183102661999932e+00 6.85956676607000104e-01 3.31772835319483981e-10
5.40369889340666654e-01 6.92946488993666621e-01 3.28035441531013025e-10
7.86200910514666673e-01 6.94078540819000001e-01 3.28085279490595002e-10
3.23149506574666623e-01 6.97756008968333341e-01 3.27973927210074980e-10
9.72268595605666519e+00 7.00976255590333275e-01 3.31790230885353991e-10
3.29555305264333320e+00 7.02048575742666769e-01 3.29927247992230014e-10
2.20378653606333330e+00 7.02876560630333436e-01 3.28822257100839998e-10
6.62966554396666602e-02 7.10780036597999931e-01 3.27909791001315990e-10
1.90422168142000015e+00 7.14582365909000039e-01 3.28549921155952980e-10
1.09086530307000000e+01 7.29478553483999925e-01 3.31727779065897025e-10
2.82950883388666696e+00 7.43402668912666709e-01 3.29366536584396007e-10
2.51263161047000017e+00 7.46701629749333295e-01 3.29000241746215016e-10
5.91914735730333330e+00 7.52905263997000085e-01 3.31078512106840021e-10
1.21819584086666666e+01 7.70852969826666623e-01 3.31611036393328992e-10
3.12347052448333329e-01 8.14600623876999941e-01 3.27684508390853015e-10
1.11251602309999989e-01 8.15644019542333343e-01 3.27639349150926985e-10
1.35440588865333336e+01 8.19022705888666658e-01 3.31422090572371020e-10
1.05240629454866674e+00 8.27022229937333431e-01 3.27835842378499023e-10
6.96690924419000002e+00 8.28403510399666643e-01 3.30914035901819013e-10
1.32853551187666663e+00 8.30303397381333408e-01 3.27934212391685013e-10
7.87196974092999935e-01 8.33070385241000078e-01 3.27740017597257025e-10
5.40166526197000008e-01 8.37075754366666813e-01 3.27672324528844006e-10
1.61057395673666659e+00 8.46365201777333431e-01 3.28029206636888977e-10
8.04969971074999968e+00 8.47608311873666587e-01 3.30917352151657002e-10
9.14439258692000045e+00 8.62386624970000071e-01 3.30899862855641003e-10
1.49844942341999996e+01 8.62918097941333340e-01 3.31288394395407006e-10
2.14768204180666666e-01 8.63645437286666762e-01 3.27536415161282996e-10
1.89845293927666670e+00 8.63937708115666614e-01 3.28163307159583985e-10
4.11289959300666652e+00 8.72502173940666648e-01 3.30231286179038990e-10
2.19764321779000005e+00 8.80154202784666606e-01 3.28347446149532019e-10
1.02944421731133335e+01 8.90817700843666738e-01 3.30790572912990982e-10
4.23368478933333348e-01 8.96702134250666583e-01 3.27482018020095996e-10
3.35628260990666627e+00 8.98817286671000026e-01 3.29526043558885016e-10
2.50748353036333294e+00 9.01752904210999962e-01 3.28571337026678978e-10
