model,period,start_h,end_h,gross_injection_m3,return_to_boundary_m3,net_injection_m3
floodmar_pond3m_head5cm,cycle_1,0.0,101.0,6646.198568412924,0.0,6646.198568412924
floodmar_pond3m_head5cm,cycle_2,240.0,341.0,4647.196677484268,0.0,4647.196677484268
floodmar_pond3m_head5cm,cycle_3,480.0,581.0,2958.383380348484,0.21214922346102055,2958.171231125023
floodmar_pond3m_head5cm,total_0_720h,0.0,720.0,14261.061144549922,0.2143451320140442,14260.846799417908
