time_h,radius_m,peak_depth_m,dissolved_O2_g_cm3,xO2_liq,rhoMolar_liq_mol_m3,Sgas,Sliq,phase_presence,pgas_Pa,delta_pgas_kPa,O2_total_bulk_mol_m3
96.0,0.5,0.21666666666666856,7.682788378514188e-06,4.33830727340316e-06,55344.6605049191,0.0,1.0,1.0,100479.203785215,0.4792037852149951,0.09148419881112048
96.0,1.0,0.21666666666666856,7.683043657193528e-06,4.33845142977962e-06,55344.6604292324,0.0,1.0,1.0,100476.175676379,0.47617567637900354,0.09148723858838655
96.0,2.0,0.21666666666666856,7.684021920817659e-06,4.33900385168597e-06,55344.6602094179,0.0,1.0,1.0,100467.381231918,0.4673812319179997,0.09149888744027083
96.0,3.0,0.21666666666666856,7.686354000460753e-06,4.34032076532582e-06,55344.659726977,0.0,1.0,1.0,100448.079503067,0.44807950306699784,0.09152665710243005
96.0,4.0,0.21666666666666856,7.712132581799016e-06,4.35487750415431e-06,55344.6581796458,0.0,1.0,1.0,100386.173136106,0.38617313610599374,0.09183362024445979
240.0,0.5,0.23333333333333428,4.446968418054736e-06,2.5111137257422e-06,55344.5459947068,0.779441678095409,0.220558321904591,3.0,100010.832649122,0.010832649122006842,1.346273753498188
240.0,1.0,0.23333333333333428,4.399873942824255e-06,2.48452038572375e-06,55344.5467963526,0.77809394141941,0.22190605858059,3.0,100013.089503536,0.013089503536000848,1.329803762257495
240.0,2.0,0.23333333333333428,4.220877043991623e-06,2.38344442087664e-06,55344.5471121888,0.777721662514603,0.222278337485397,3.0,100017.597019253,0.01759701925299305,1.2751179913724329
240.0,3.0,0.23333333333333428,4.00846959914493e-06,2.26350220059636e-06,55344.5472559317,0.777662314723982,0.222337685276018,3.0,100022.056332474,0.022056332474006922,1.2108613824915726
240.0,4.0,0.21666666666666856,3.923890005647942e-06,2.21574187854063e-06,55344.545405241,0.78115145819289,0.21884854180711,3.0,100025.976660175,0.0259766601750016,1.1904204863624972
336.0,0.5,4.866666666666664,7.940372098833798e-06,4.48375805597581e-06,55344.6761620928,0.0,1.0,1.0,101105.623489351,1.1056234893509973,0.09455142377154356
336.0,1.0,4.666666666666668,8.109073035927991e-06,4.57901994213023e-06,55344.6751922345,0.0012173761786595,0.998782623821341,3.0,101154.014080863,1.1540140808629948,0.10024369787881258
336.0,2.0,4.266666666666666,8.111070048526857e-06,4.58014801114618e-06,55344.6703738512,0.00458814002468547,0.995411859975315,3.0,101125.208577703,1.1252085777030005,0.11046987884368902
336.0,3.0,4.466666666666669,8.36844941773643e-06,4.72548516582665e-06,55344.6642568996,0.000488779270565908,0.999511220729434,3.0,100666.359161635,0.6663591616350022,0.10117504547085786
336.0,4.0,4.933333333333334,7.71130142097051e-06,4.35440812809513e-06,55344.6586523162,0.0,1.0,1.0,100405.083960739,0.4050839607389935,0.09182372304584745
480.0,0.5,0.23333333333333428,4.920078358838035e-06,2.77826941327098e-06,55344.545819743,0.779441197331917,0.220558802668083,3.0,100003.821867862,0.0038218678620032735,1.4895020284871177
480.0,1.0,0.23333333333333428,4.892858754139646e-06,2.76289900925017e-06,55344.5466218569,0.778093806915465,0.221906193084535,3.0,100006.105251625,0.006105251625005622,1.4788016718574928
480.0,2.0,0.23333333333333428,4.80577944708033e-06,2.71372705887341e-06,55344.5469413837,0.77772210288796,0.22227789711204,3.0,100010.772955592,0.010772955591994106,1.4518165643967633
480.0,3.0,0.23333333333333428,4.723329413077578e-06,2.6671691745224e-06,55344.5470943856,0.777663198353715,0.222336801646285,3.0,100015.612341454,0.015612341454005219,1.4268047491549323
480.0,4.0,0.21666666666666856,4.768551297300271e-06,2.69270515225469e-06,55344.5452706681,0.781153462964807,0.218846537035193,3.0,100020.63861796,0.02063861795999401,1.4466754094167984
576.0,0.5,0.21666666666666856,7.682679269087035e-06,4.33824564706218e-06,55344.6606907554,0.0,1.0,1.0,100486.638810873,0.48663881087300254,0.09148289957078819
576.0,1.0,0.21666666666666856,7.683364004917956e-06,4.33863230649493e-06,55344.6606439817,0.0,1.0,1.0,100484.767466299,0.48476746629900297,0.091491053187132
576.0,2.0,4.666666666666668,7.963455719505663e-06,4.49679343879556e-06,55344.6693112561,0.00189042575888741,0.998109574241113,3.0,100959.96540559,0.9599654055900028,0.10044347859217079
576.0,3.0,4.866666666666664,8.133911933160903e-06,4.59304688210716e-06,55344.6637876193,0.000343901918119442,0.999656098081881,3.0,100636.896176329,0.636896176328999,0.09789977256596792
576.0,4.0,0.21666666666666856,7.708233507736415e-06,4.35267577490896e-06,55344.6582421767,0.0,1.0,1.0,100388.674902607,0.3886749026070029,0.09178719131148022
720.0,0.5,0.23333333333333428,4.983383547987728e-06,2.81401658306341e-06,55344.54579668,0.779440861597987,0.220559138402013,3.0,100002.89164926,0.002891649259996484,1.5086663864260061
720.0,1.0,0.23333333333333428,4.9567174823233625e-06,2.79895875089162e-06,55344.546598694,0.778093834856641,0.221906165143359,3.0,100005.179149823,0.005179149823001353,1.4981021785980047
720.0,2.0,0.23333333333333428,4.872070953451704e-06,2.7511605412159e-06,55344.5469185254,0.777722732592071,0.222277267407929,3.0,100009.872140184,0.009872140184001182,1.4718442447419688
720.0,3.0,0.23333333333333428,4.7931450094002044e-06,2.70659263943516e-06,55344.5470728469,0.777664121928328,0.222335878071672,3.0,100014.770704318,0.014770704317998025,1.4478960225234254
720.0,4.0,0.21666666666666856,4.84375078870011e-06,2.73516879569297e-06,55344.545253413,0.781153968665422,0.218846031334578,3.0,100019.959875774,0.019959875774002284,1.469490224892608
