model,period,start_h,end_h,gross_injection_m3,return_to_boundary_m3,net_injection_m3
drywell_12m,cycle_1,0.0,101.0,3054.8726253521318,0.0028553759381785004,3054.8697699761938
drywell_12m,cycle_2,240.0,341.0,2318.081360733145,4.181772981080952,2313.8995877520642
drywell_12m,cycle_3,480.0,581.0,1917.9313071524139,20.023201039157144,1897.9081061132567
drywell_12m,total_0_720h,0.0,720.0,7295.928350085514,25.117539468020546,7270.810810617493
floodmar_pond5m_head5cm,cycle_1,0.0,101.0,23097.00471566471,0.0,23097.00471566471
floodmar_pond5m_head5cm,cycle_2,240.0,341.0,15435.0781979044,0.0,15435.0781979044
floodmar_pond5m_head5cm,cycle_3,480.0,581.0,8497.442193256587,2.406684002772851,8495.035509253814
floodmar_pond5m_head5cm,total_0_720h,0.0,720.0,47068.97104263051,2.4204189913152345,47066.550623639196
