absolute_time_h,gross_injection_rate_m3_h,cycle_cumulative_injection_m3
480.000000000000,0.000000000,0.000000000
480.050000000000,0.000000141,0.000000004
480.100000000000,0.000002206,0.000000062
480.150000000000,0.000011167,0.000000397
480.200000000000,0.000035275,0.000001558
480.250000000000,0.000085752,0.000004583
480.300000000000,0.000176218,0.000011132
480.350000000000,0.000321883,0.000023585
480.400000000000,0.000538470,0.000045094
480.450000000000,0.000840929,0.000079579
480.500000000000,0.001241916,0.000131650
480.550000000000,0.001750082,0.000206450
480.600000000000,0.002368191,0.000309407
480.650000000000,0.003091077,0.000445888
480.700000000000,0.003903482,0.000620752
480.750000000000,0.004777796,0.000837784
480.800000000000,0.005671727,0.001099023
480.850000000000,0.006525927,0.001403964
480.900000000000,0.007261621,0.001748653
480.950000000000,0.007778239,0.002124649
481.000000000000,0.007990648,0.002518871
481.050000000000,0.008135744,0.002922031
481.091666666700,0.008255964,0.003263525
481.100000000000,0.008931274,0.003335138
481.150000000000,0.012919515,0.003881408
481.200000000000,0.016798794,0.004624366
481.250000000000,0.020569256,0.005558567
481.300000000000,0.024231035,0.006678574
481.350000000000,0.027784259,0.007978957
481.400000000000,0.031229049,0.009454290
481.450000000000,0.034565517,0.011099154
481.500000000000,0.037793768,0.012908136
481.550000000000,0.040913900,0.014875827
481.600000000000,0.043926003,0.016996825
481.650000000000,0.046830269,0.019265732
481.700000000000,0.049627848,0.021677185
481.750000000000,0.052318764,0.024225850
481.800000000000,0.054902635,0.026906385
481.850000000000,0.057379030,0.029713427
481.900000000000,0.059747467,0.032641589
481.950000000000,0.062007420,0.035685461
482.000000000000,0.064158339,0.038839605
482.013888888900,0.064736540,0.039734709
482.050000000000,52.440513536,0.987746168
482.100000000000,118.702715120,5.266326884
482.150000000000,177.698406214,12.676354918
482.200000000000,229.428486593,22.854527238
482.250000000000,273.893678535,35.437581366
482.300000000000,311.094526821,50.062286500
482.350000000001,341.031398734,66.365434639
482.400000000001,363.704484057,83.983831709
482.450000000001,379.113795080,102.554288687
482.500000000001,387.259166593,121.713612729
482.550000000001,388.140255888,141.098598291
482.600000000001,381.756542760,160.346018257
482.650000000001,368.107329507,179.092615064
482.700000000001,347.191740928,196.975091825
482.750000000001,319.008724327,213.630103456
482.800000000001,283.557049508,228.694247802
482.850000000001,240.835308778,241.804056759
482.900000000001,190.841916947,252.595987403
482.950000000001,133.575111328,260.706413109
483.000000000001,69.032951734,265.771614686
483.022222222200,38.011701274,266.960999718
483.050000000001,38.102223595,268.018137564
483.100000000001,38.257303288,269.927125736
483.150000000001,38.401513365,271.843596153
483.200000000001,38.533957695,273.766982929
483.250000000001,38.653740026,275.696675372
483.300000000001,38.759963983,277.632017973
483.350000000001,38.851733067,279.572310399
483.400000000001,38.930509892,281.516866473
483.450000000001,39.003636990,283.465220145
483.500000000001,39.069460475,285.417047581
483.550000000001,39.124355667,287.371892985
483.600000000001,39.163868688,289.329098594
483.650000000001,39.183055449,291.287771697
483.700000000001,39.176790156,293.246767837
483.750000000001,39.140040527,295.204688604
483.800000000001,39.069492484,297.159926930
483.850000000001,38.972662376,299.110980801
483.900000000001,38.850719508,301.056565348
483.950000000001,38.702764124,302.995402439
484.000000000001,38.527896273,304.926168949
484.025000000000,38.430088885,305.888143763
484.050000000001,38.604041137,306.851070389
484.100000000001,38.930683895,308.789438515
484.150000000001,39.228226007,310.743411262
484.200000000001,39.495765273,312.711511044
484.250000000001,39.732399239,314.692215157
484.300000000001,39.937225196,316.683955768
484.350000000001,40.109340186,318.685119902
484.400000000001,40.247840994,320.694049432
484.450000000001,40.351824154,322.709041061
484.500000000001,40.420385944,324.728346313
484.550000000001,40.452622393,326.750171522
484.600000000001,40.447629273,328.772677813
484.650000000001,40.404502104,330.793981098
484.700000000001,40.322336154,332.812152054
