absolute_time_h,gross_injection_rate_m3_h,cycle_cumulative_injection_m3
960.000000000000,0.000000000,0.000000000
960.050000000000,0.000000137,0.000000003
960.100000000000,0.000002069,0.000000059
960.136111111100,0.000006942,0.000000221
960.150000000000,0.000010158,0.000000340
960.200000000000,0.000031166,0.000001373
960.219444444400,0.000044622,0.000002110
960.250000000000,0.000073701,0.000003918
960.300000000000,0.000147538,0.000009449
960.302777777800,0.000152761,0.000009866
960.350000000000,0.000263272,0.000019689
960.386111111100,0.000378465,0.000031276
960.400000000000,0.000431095,0.000036898
960.450000000000,0.000661193,0.000064205
960.469444444400,0.000768870,0.000078108
960.500000000000,0.000962890,0.000104566
960.550000000000,0.001341616,0.000162178
960.552777777800,0.001364898,0.000165937
960.600000000000,0.001808973,0.000240876
960.636111111100,0.002195508,0.000313179
960.649999999999,0.002360886,0.000344821
960.699999999999,0.003002548,0.000478906
960.719444444400,0.003268546,0.000539875
960.749999999999,0.003728025,0.000646768
960.799999999999,0.004505773,0.000852612
960.802777777800,0.004549168,0.000865189
960.849999999999,0.005340405,0.001098693
960.886111111100,0.005908552,0.001301799
960.899999999999,0.006132632,0.001385418
960.949999999999,0.006820722,0.001709252
960.969444444400,0.007017606,0.001843791
960.999999999999,0.007296063,0.002062472
961.049999999999,0.007734621,0.002438239
961.052777777800,0.007758761,0.002459758
961.099999999999,0.008251539,0.002837779
961.136111111100,0.008622617,0.003142451
961.149999999999,0.008796066,0.003263414
961.199999999999,0.009412737,0.003718634
961.219444444400,0.009649283,0.003903960
961.249999999999,0.010107068,0.004205793
961.299999999999,0.010843591,0.004729559
961.302777777800,0.010884051,0.004759736
961.349999999999,0.011744252,0.005294016
961.386111111100,0.012389704,0.005729768
961.399999999999,0.012706001,0.005904044
961.449999999999,0.013827041,0.006567370
961.469444444400,0.014255555,0.006840395
961.499999999999,0.015132118,0.007289373
961.549999999999,0.016535807,0.008081071
961.552777777800,0.016612673,0.008127111
961.599999999998,0.018358484,0.008952819
961.636111111100,0.019660798,0.009639278
961.649999999998,0.020352850,0.009917151
961.699999999998,0.022793458,0.010995808
961.719444444400,0.023721067,0.011448033
961.749999999998,0.025820187,0.012204913
961.799999999998,0.029153332,0.013579251
961.802777777800,0.029334796,0.013660485
961.849999999998,0.034031667,0.015156637
961.886111111100,0.037494155,0.016448076
961.899999999998,0.039245831,0.016980992
961.927777777800,0.042682193,0.018118881
961.949999999998,0.047149286,0.019117009
961.999999999998,0.056798374,0.021715700
962.022222222200,0.060908478,0.023023554
962.049999999998,0.144685858,0.025879031
962.086111111100,0.134038279,0.030911550
962.099999999998,4.146901888,0.060640302
962.149999999998,5.665516058,0.305950750
962.166666666700,1.675157653,0.367123031
962.199999999998,17.063599100,0.679435644
962.249999999998,6.209376636,1.261260037
962.252777777800,4.412295151,1.276012359
962.299999999998,28.177194050,2.045486409
962.336111111100,8.636848041,2.710184391
962.349999999998,41.604536402,3.059082894
962.399999999998,56.811866630,5.519492970
962.416666666700,25.889286333,6.208669246
962.449999999998,146.175333344,9.076412905
962.499999999998,72.911593689,14.553586080
962.505555555600,45.979115623,14.883838054
962.549999999998,42.885228785,16.858601261
