absolute_time_h,gross_injection_rate_m3_h,cycle_cumulative_injection_m3
0.000000000000,0.000000057,0.000000000
0.050000000000,43.677486198,1.091937156
0.100000000000,80.382772615,4.193443627
0.150000000000,113.555721821,9.041905988
0.200000000000,143.130335553,15.459057422
0.250000000000,168.864031550,23.258916600
0.300000000000,190.908424669,32.253228005
0.350000000000,209.263514911,42.257526495
0.400000000000,224.066496292,53.090776775
0.450000000000,235.206661782,64.572605726
0.500000000000,242.518973463,76.515746608
0.550000000000,242.018751868,88.629189741
0.600000000000,237.083718028,100.606751488
0.650000000000,227.713871945,112.226691238
0.700000000000,213.909213618,123.267268377
0.750000000000,195.669743047,133.506742293
0.800000000000,172.995460233,142.723372375
0.850000000000,145.886365175,150.695418010
0.900000000000,114.342457874,157.201138587
0.950000000000,78.363738329,162.018793492
1.000000000000,37.950206540,164.926642113
1.000661111111,37.386143142,164.951544962
1.050000000000,37.407604595,166.796665167
1.100000000000,37.429353596,168.667589122
1.150000000000,37.451102575,170.539600526
1.200000000000,37.472851531,172.412699379
1.250000000000,37.494600465,174.286885679
1.300000000000,37.516349377,176.162159425
1.350000000000,37.538098267,178.038520616
1.400000000000,37.559847134,179.915969251
1.450000000000,37.581595979,181.794505329
1.500000000000,37.603344802,183.674128848
1.550000000000,37.625093602,185.554839808
1.600000000000,37.646842380,187.436638208
1.650000000000,37.668591136,189.319524046
1.700000000000,37.690339869,191.203497321
1.750000000000,37.712088580,193.088558032
1.800000000000,37.733837269,194.974706178
1.850000000000,37.755585936,196.861941758
1.900000000000,37.777334580,198.750264771
1.950000000000,37.799083202,200.639675216
2.000000000000,37.820831801,202.530173091
2.029291666667,37.833572846,203.638194892
2.050000000000,37.842183375,204.421754285
2.100000000000,37.862973365,206.314383203
2.150000000000,37.883763328,208.208051621
2.200000000000,37.904553263,210.102759535
2.250000000000,37.925343171,211.998506946
2.300000000000,37.946133052,213.895293852
2.350000000000,37.966922906,215.793120251
2.400000000000,37.987712732,217.691986142
2.450000000000,38.008502530,219.591891523
2.500000000000,38.029292302,221.492836394
2.550000000000,38.050082046,223.394820753
2.600000000000,38.070871762,225.297844598
2.650000000000,38.091661451,227.201907928
2.700000000000,38.112451113,229.107010742
2.750000000000,38.133240748,231.013153039
2.800000000000,38.154030355,232.920334816
2.850000000000,38.174819934,234.828556074
2.900000000000,38.195609487,236.737816809
2.950000000000,38.216399011,238.648117022
3.000000000000,38.237188509,240.559456710
3.050000000000,38.257977979,242.471835872
3.054888888889,38.260010726,242.658879844
3.100000000000,38.275350231,244.385177430
3.150000000000,38.292352138,246.299369990
3.200000000000,38.309354038,248.214412644
3.250000000000,38.326355929,250.130305393
3.300000000000,38.343357813,252.047048237
3.350000000000,38.360359689,253.964641174
3.400000000000,38.377361558,255.883084205
3.450000000000,38.394363418,257.802377330
3.500000000000,38.411365271,259.722520547
3.550000000000,38.428367116,261.643513857
3.600000000000,38.445368954,263.565357258
3.650000000000,38.462370783,265.488050752
3.700000000000,38.479372605,267.411594337
3.750000000000,38.496374419,269.335988012
3.800000000000,38.513376226,271.261231778
3.850000000000,38.530378024,273.187325635
3.900000000000,38.547379815,275.114269581
3.950000000000,38.564381598,277.042063616
4.000000000000,38.581383374,278.970707740
4.050000000000,38.598385141,280.900201953
4.054888888889,38.600047536,281.088909233
4.100000000000,38.594001593,282.830063897
4.150000000000,38.587300423,284.759596447
4.200000000000,38.580599251,286.688793939
4.250000000000,38.573898078,288.617656372
4.300000000000,38.567196902,290.546183747
4.350000000000,38.560495725,292.474376062
4.400000000000,38.553794546,294.402233319
4.450000000000,38.547093365,296.329755517
4.500000000000,38.540392183,298.256942656
4.550000000000,38.533690998,300.183794735
4.600000000000,38.526989812,302.110311755
4.650000000000,38.520288624,304.036493716
4.700000000000,38.513587434,305.962340618
