method,time_h,time_days,cumulative_injection_m3
Drywell MAR,0.000000000000,0.000000000000,0.000000000
Drywell MAR,0.050000000000,0.002083333333,0.021979715
Drywell MAR,0.100000000000,0.004166666667,0.148489274
Drywell MAR,0.150000000000,0.006250000000,0.546465796
Drywell MAR,0.200000000000,0.008333333333,1.482211387
Drywell MAR,0.250000000000,0.010416666667,3.343889724
Drywell MAR,0.300000000000,0.012500000000,6.740256781
Drywell MAR,0.350000000000,0.014583333333,12.686847425
Drywell MAR,0.400000000000,0.016666666667,22.799763157
Drywell MAR,0.450000000000,0.018750000000,40.622430606
Drywell MAR,0.500000000000,0.020833333333,72.974638086
Drywell MAR,0.550000000000,0.022916666667,114.651898450
Drywell MAR,0.600000000000,0.025000000000,155.820648799
Drywell MAR,0.650000000000,0.027083333333,195.737649656
Drywell MAR,0.700000000000,0.029166666667,233.659661542
Drywell MAR,0.750000000000,0.031250000000,268.843444977
Drywell MAR,0.800000000000,0.033333333333,300.545760483
Drywell MAR,0.850000000000,0.035416666667,328.023368581
Drywell MAR,0.900000000000,0.037500000000,350.533029793
Drywell MAR,0.950000000000,0.039583333333,367.331504639
Drywell MAR,1.000000000000,0.041666666667,377.675553642
Drywell MAR,1.030436111111,0.042934837963,380.519191161
Drywell MAR,1.050000000000,0.043750000000,381.461336641
Drywell MAR,1.100000000000,0.045833333333,383.854705804
Drywell MAR,1.150000000000,0.047916666667,386.227231611
Drywell MAR,1.200000000000,0.050000000000,388.578914061
Drywell MAR,1.250000000000,0.052083333333,390.909753156
Drywell MAR,1.300000000000,0.054166666667,393.219748894
Drywell MAR,1.350000000000,0.056250000000,395.508901275
Drywell MAR,1.400000000000,0.058333333333,397.777210300
Drywell MAR,1.450000000000,0.060416666667,400.024675969
Drywell MAR,1.500000000000,0.062500000000,402.251298281
Drywell MAR,1.550000000000,0.064583333333,404.457077237
Drywell MAR,1.600000000000,0.066666666667,406.642012836
Drywell MAR,1.650000000000,0.068750000000,408.806105078
Drywell MAR,1.700000000000,0.070833333333,410.949353963
Drywell MAR,1.750000000000,0.072916666667,413.071759491
Drywell MAR,1.800000000000,0.075000000000,415.173321663
Drywell MAR,1.850000000000,0.077083333333,417.254040477
Drywell MAR,1.900000000000,0.079166666667,419.313915935
Drywell MAR,1.950000000000,0.081250000000,421.352948035
Drywell MAR,2.000000000000,0.083333333333,423.371136778
Drywell MAR,2.017527777778,0.084063657407,424.073689965
Drywell MAR,2.050000000000,0.085416666667,425.371309511
Drywell MAR,2.100000000000,0.087500000000,427.363221912
Drywell MAR,2.150000000000,0.089583333333,429.347697756
Drywell MAR,2.200000000000,0.091666666667,431.324737042
Drywell MAR,2.250000000000,0.093750000000,433.294339772
Drywell MAR,2.300000000000,0.095833333333,435.256505945
Drywell MAR,2.350000000000,0.097916666667,437.211235561
Drywell MAR,2.400000000000,0.100000000000,439.158528620
Drywell MAR,2.450000000000,0.102083333333,441.098385122
Drywell MAR,2.500000000000,0.104166666667,443.030805067
Drywell MAR,2.550000000000,0.106250000000,444.955788455
Drywell MAR,2.600000000000,0.108333333333,446.873335286
Drywell MAR,2.650000000000,0.110416666667,448.783445559
Drywell MAR,2.700000000000,0.112500000000,450.686119276
Drywell MAR,2.750000000000,0.114583333333,452.581356436
Drywell MAR,2.800000000000,0.116666666667,454.469157038
Drywell MAR,2.850000000000,0.118750000000,456.349521084
Drywell MAR,2.900000000000,0.120833333333,458.222448572
Drywell MAR,2.950000000000,0.122916666667,460.087939504
Drywell MAR,3.000000000000,0.125000000000,461.945993878
Drywell MAR,3.050000000000,0.127083333333,463.796611695
Drywell MAR,3.054750000000,0.127281250000,463.972033594
Drywell MAR,3.100000000000,0.129166666667,465.641012748
Drywell MAR,3.150000000000,0.131250000000,467.480942449
Drywell MAR,3.200000000000,0.133333333333,469.316414240
Drywell MAR,3.250000000000,0.135416666667,471.147428120
Drywell MAR,3.300000000000,0.137500000000,472.973984089
Drywell MAR,3.350000000000,0.139583333333,474.796082148
Drywell MAR,3.400000000000,0.141666666667,476.613722296
Drywell MAR,3.450000000000,0.143750000000,478.426904533
Drywell MAR,3.500000000000,0.145833333333,480.235628860
Drywell MAR,3.550000000000,0.147916666667,482.039895276
Drywell MAR,3.600000000000,0.150000000000,483.839703781
Drywell MAR,3.650000000000,0.152083333333,485.635054375
Drywell MAR,3.700000000000,0.154166666667,487.425947059
Drywell MAR,3.750000000000,0.156250000000,489.212381833
Drywell MAR,3.800000000000,0.158333333333,490.994358695
Drywell MAR,3.850000000000,0.160416666667,492.771877647
Drywell MAR,3.900000000000,0.162500000000,494.544938688
Drywell MAR,3.950000000000,0.164583333333,496.313541818
Drywell MAR,4.000000000000,0.166666666667,498.077687038
Drywell MAR,4.050000000000,0.168750000000,499.837374347
Drywell MAR,4.054750000000,0.168947916667,500.004312774
Drywell MAR,4.100000000000,0.170833333333,501.593164772
Drywell MAR,4.150000000000,0.172916666667,503.345861092
Drywell MAR,4.200000000000,0.175000000000,505.095469487
Drywell MAR,4.250000000000,0.177083333333,506.841989959
Drywell MAR,4.300000000000,0.179166666667,508.585422507
Drywell MAR,4.350000000000,0.181250000000,510.325767132
Drywell MAR,4.400000000000,0.183333333333,512.063023833
Drywell MAR,4.450000000000,0.185416666667,513.797192610
Drywell MAR,4.500000000000,0.187500000000,515.528273463
Drywell MAR,4.550000000000,0.189583333333,517.256266393
Drywell MAR,4.600000000000,0.191666666667,518.981171398
Drywell MAR,4.650000000000,0.193750000000,520.702988481
Drywell MAR,4.700000000000,0.195833333333,522.421717639
Drywell MAR,4.750000000000,0.197916666667,524.137358874
Drywell MAR,4.800000000000,0.200000000000,525.849912185
Drywell MAR,4.850000000000,0.202083333333,527.559377572
Drywell MAR,4.900000000000,0.204166666667,529.265755035
Drywell MAR,4.950000000000,0.206250000000,530.969044575
Drywell MAR,5.000000000000,0.208333333333,532.669246191
Drywell MAR,5.050000000000,0.210416666667,534.366359884
Drywell MAR,5.054750000000,0.210614583333,534.527425074
Drywell MAR,5.100000000000,0.212500000000,536.060706283
Drywell MAR,5.150000000000,0.214583333333,537.752744183
Drywell MAR,5.200000000000,0.216666666667,539.442477117
Drywell MAR,5.250000000000,0.218750000000,541.129905084
Drywell MAR,5.300000000000,0.220833333333,542.815028085
Drywell MAR,5.350000000000,0.222916666667,544.497846119
Drywell MAR,5.400000000000,0.225000000000,546.178359188
Drywell MAR,5.450000000000,0.227083333333,547.856567290
Drywell MAR,5.500000000000,0.229166666667,549.532470425
Drywell MAR,5.550000000000,0.231250000000,551.206068595
Drywell MAR,5.600000000000,0.233333333333,552.877361797
Drywell MAR,5.650000000000,0.235416666667,554.546350034
Drywell MAR,5.700000000000,0.237500000000,556.213033304
Drywell MAR,5.750000000000,0.239583333333,557.877411608
Drywell MAR,5.800000000000,0.241666666667,559.539484946
Drywell MAR,5.850000000000,0.243750000000,561.199253317
Drywell MAR,5.900000000000,0.245833333333,562.856716722
Drywell MAR,5.950000000000,0.247916666667,564.511875160
Drywell MAR,6.000000000000,0.250000000000,566.164728632
Drywell MAR,6.050000000000,0.252083333333,567.815277138
Drywell MAR,6.054750000000,0.252281250000,567.971959359
Drywell MAR,6.100000000000,0.254166666667,569.463752140
Drywell MAR,6.150000000000,0.256250000000,571.110484839
Drywell MAR,6.200000000000,0.258333333333,572.755477786
Drywell MAR,6.250000000000,0.260416666667,574.398730981
Drywell MAR,6.300000000000,0.262500000000,576.040244424
Drywell MAR,6.350000000000,0.264583333333,577.680018115
Drywell MAR,6.400000000000,0.266666666667,579.318052053
Drywell MAR,6.450000000000,0.268750000000,580.954346240
Drywell MAR,6.500000000000,0.270833333333,582.588900674
Drywell MAR,6.550000000000,0.272916666667,584.221715357
Drywell MAR,6.600000000000,0.275000000000,585.852790287
Drywell MAR,6.650000000000,0.277083333333,587.482125465
Drywell MAR,6.700000000000,0.279166666667,589.109720891
Drywell MAR,6.750000000000,0.281250000000,590.735576565
Drywell MAR,6.800000000000,0.283333333333,592.359692487
Drywell MAR,6.850000000000,0.285416666667,593.982068657
Drywell MAR,6.900000000000,0.287500000000,595.602705075
Drywell MAR,6.950000000000,0.289583333333,597.221601740
Drywell MAR,7.000000000000,0.291666666667,598.838758654
Drywell MAR,7.050000000000,0.293750000000,600.454175815
Drywell MAR,7.054750000000,0.293947916667,600.607549957
Drywell MAR,7.100000000000,0.295833333333,602.067924301
Drywell MAR,7.150000000000,0.297916666667,603.680105816
Drywell MAR,7.200000000000,0.300000000000,605.290721142
Drywell MAR,7.250000000000,0.302083333333,606.899770281
Drywell MAR,7.300000000000,0.304166666667,608.507253231
Drywell MAR,7.350000000000,0.306250000000,610.113169994
Drywell MAR,7.400000000000,0.308333333333,611.717520568
Drywell MAR,7.450000000000,0.310416666667,613.320304955
Drywell MAR,7.500000000000,0.312500000000,614.921523153
Drywell MAR,7.550000000000,0.314583333333,616.521175163
Drywell MAR,7.600000000000,0.316666666667,618.119260985
Drywell MAR,7.650000000000,0.318750000000,619.715780619
Drywell MAR,7.700000000000,0.320833333333,621.310734065
Drywell MAR,7.750000000000,0.322916666667,622.904121323
Drywell MAR,7.800000000000,0.325000000000,624.495942393
Drywell MAR,7.850000000000,0.327083333333,626.086197275
Drywell MAR,7.900000000000,0.329166666667,627.674885968
Drywell MAR,7.950000000000,0.331250000000,629.262008474
Drywell MAR,8.000000000000,0.333333333333,630.847564791
Drywell MAR,8.050000000000,0.335416666667,632.431554921
Drywell MAR,8.054750000000,0.335614583333,632.581952522
Drywell MAR,8.100000000000,0.337500000000,634.014081873
Drywell MAR,8.150000000000,0.339583333333,635.595293046
Drywell MAR,8.200000000000,0.341666666667,637.175189576
Drywell MAR,8.250000000000,0.343750000000,638.753771462
Drywell MAR,8.300000000000,0.345833333333,640.331038705
Drywell MAR,8.350000000000,0.347916666667,641.906991304
Drywell MAR,8.400000000000,0.350000000000,643.481629259
Drywell MAR,8.450000000000,0.352083333333,645.054952571
Drywell MAR,8.500000000000,0.354166666667,646.626961239
Drywell MAR,8.550000000000,0.356250000000,648.197655263
Drywell MAR,8.600000000000,0.358333333333,649.767034644
Drywell MAR,8.650000000000,0.360416666667,651.335099382
Drywell MAR,8.700000000000,0.362500000000,652.901849475
Drywell MAR,8.750000000000,0.364583333333,654.467284925
Drywell MAR,8.800000000000,0.366666666667,656.031405732
Drywell MAR,8.850000000000,0.368750000000,657.594211895
Drywell MAR,8.900000000000,0.370833333333,659.155703414
Drywell MAR,8.950000000000,0.372916666667,660.715880290
Drywell MAR,9.000000000000,0.375000000000,662.274742522
Drywell MAR,9.050000000000,0.377083333333,663.832290110
Drywell MAR,9.054750000000,0.377281250000,663.980188753
Drywell MAR,9.100000000000,0.379166666667,665.388599573
Drywell MAR,9.150000000000,0.381250000000,666.943780401
Drywell MAR,9.200000000000,0.383333333333,668.497833437
Drywell MAR,9.250000000000,0.385416666667,670.050758681
Drywell MAR,9.300000000000,0.387500000000,671.602556133
Drywell MAR,9.350000000000,0.389583333333,673.153225793
Drywell MAR,9.400000000000,0.391666666667,674.702767661
Drywell MAR,9.450000000000,0.393750000000,676.251181737
Drywell MAR,9.500000000000,0.395833333333,677.798468021
Drywell MAR,9.550000000000,0.397916666667,679.344626513
Drywell MAR,9.600000000000,0.400000000000,680.889657213
Drywell MAR,9.650000000000,0.402083333333,682.433560121
Drywell MAR,9.700000000000,0.404166666667,683.976335237
Drywell MAR,9.750000000000,0.406250000000,685.517982562
Drywell MAR,9.800000000000,0.408333333333,687.058502094
Drywell MAR,9.850000000000,0.410416666667,688.597893834
Drywell MAR,9.900000000000,0.412500000000,690.136157783
Drywell MAR,9.950000000000,0.414583333333,691.673293939
Drywell MAR,10.000000000000,0.416666666667,693.209302304
Drywell MAR,10.050000000000,0.418750000000,694.744182876
Drywell MAR,10.054750000000,0.418947916667,694.889937871
Drywell MAR,10.100000000000,0.420833333333,696.277953498
Drywell MAR,10.150000000000,0.422916666667,697.810639697
Drywell MAR,10.200000000000,0.425000000000,699.342241671
Drywell MAR,10.250000000000,0.427083333333,700.872759419
Drywell MAR,10.300000000000,0.429166666667,702.402192942
Drywell MAR,10.350000000000,0.431250000000,703.930542239
Drywell MAR,10.400000000000,0.433333333333,705.457807310
Drywell MAR,10.450000000000,0.435416666667,706.983988157
Drywell MAR,10.500000000000,0.437500000000,708.509084777
Drywell MAR,10.550000000000,0.439583333333,710.033097172
Drywell MAR,10.600000000000,0.441666666667,711.556025341
Drywell MAR,10.650000000000,0.443750000000,713.077869285
Drywell MAR,10.700000000000,0.445833333333,714.598629004
Drywell MAR,10.750000000000,0.447916666667,716.118304496
Drywell MAR,10.800000000000,0.450000000000,717.636895764
Drywell MAR,10.850000000000,0.452083333333,719.154402805
Drywell MAR,10.900000000000,0.454166666667,720.670825621
Drywell MAR,10.950000000000,0.456250000000,722.186164212
Drywell MAR,11.000000000000,0.458333333333,723.700418577
Drywell MAR,11.050000000000,0.460416666667,725.213588716
Drywell MAR,11.054750000000,0.460614583333,725.357283486
Drywell MAR,11.100000000000,0.462500000000,726.725740699
Drywell MAR,11.150000000000,0.464583333333,728.236969064
