time_h,segment,source_vtu,packaged_vtu
372.0833333333333,C1,drywell_formal_C1_0_480h_6h-00062.vtu,C1_drywell_formal_C1_0_480h_6h-00062.vtu
378.0833333333333,C1,drywell_formal_C1_0_480h_6h-00063.vtu,C1_drywell_formal_C1_0_480h_6h-00063.vtu
384.0833333333333,C1,drywell_formal_C1_0_480h_6h-00064.vtu,C1_drywell_formal_C1_0_480h_6h-00064.vtu
390.0833333333333,C1,drywell_formal_C1_0_480h_6h-00065.vtu,C1_drywell_formal_C1_0_480h_6h-00065.vtu
396.0833333333333,C1,drywell_formal_C1_0_480h_6h-00066.vtu,C1_drywell_formal_C1_0_480h_6h-00066.vtu
402.0833333333333,C1,drywell_formal_C1_0_480h_6h-00067.vtu,C1_drywell_formal_C1_0_480h_6h-00067.vtu
408.0833333333333,C1,drywell_formal_C1_0_480h_6h-00068.vtu,C1_drywell_formal_C1_0_480h_6h-00068.vtu
414.0833333333333,C1,drywell_formal_C1_0_480h_6h-00069.vtu,C1_drywell_formal_C1_0_480h_6h-00069.vtu
420.0833333333333,C1,drywell_formal_C1_0_480h_6h-00070.vtu,C1_drywell_formal_C1_0_480h_6h-00070.vtu
426.0833333333333,C1,drywell_formal_C1_0_480h_6h-00071.vtu,C1_drywell_formal_C1_0_480h_6h-00071.vtu
432.0833333333333,C1,drywell_formal_C1_0_480h_6h-00072.vtu,C1_drywell_formal_C1_0_480h_6h-00072.vtu
438.0833333333333,C1,drywell_formal_C1_0_480h_6h-00073.vtu,C1_drywell_formal_C1_0_480h_6h-00073.vtu
444.0833333333333,C1,drywell_formal_C1_0_480h_6h-00074.vtu,C1_drywell_formal_C1_0_480h_6h-00074.vtu
450.0833333333333,C1,drywell_formal_C1_0_480h_6h-00075.vtu,C1_drywell_formal_C1_0_480h_6h-00075.vtu
456.0833333333333,C1,drywell_formal_C1_0_480h_6h-00076.vtu,C1_drywell_formal_C1_0_480h_6h-00076.vtu
462.0833333333333,C1,drywell_formal_C1_0_480h_6h-00077.vtu,C1_drywell_formal_C1_0_480h_6h-00077.vtu
468.0833333333333,C1,drywell_formal_C1_0_480h_6h-00078.vtu,C1_drywell_formal_C1_0_480h_6h-00078.vtu
474.0833333333333,C1,drywell_formal_C1_0_480h_6h-00079.vtu,C1_drywell_formal_C1_0_480h_6h-00079.vtu
480.0,C1,drywell_formal_C1_0_480h_6h-00080.vtu,C1_drywell_formal_C1_0_480h_6h-00080.vtu
486.025,C2,drywell_formal_C2_480_960h_6h-00001.vtu,C2_drywell_formal_C2_480_960h_6h-00001.vtu
492.025,C2,drywell_formal_C2_480_960h_6h-00002.vtu,C2_drywell_formal_C2_480_960h_6h-00002.vtu
498.025,C2,drywell_formal_C2_480_960h_6h-00003.vtu,C2_drywell_formal_C2_480_960h_6h-00003.vtu
504.025,C2,drywell_formal_C2_480_960h_6h-00004.vtu,C2_drywell_formal_C2_480_960h_6h-00004.vtu
510.025,C2,drywell_formal_C2_480_960h_6h-00005.vtu,C2_drywell_formal_C2_480_960h_6h-00005.vtu
516.025,C2,drywell_formal_C2_480_960h_6h-00006.vtu,C2_drywell_formal_C2_480_960h_6h-00006.vtu
522.025,C2,drywell_formal_C2_480_960h_6h-00007.vtu,C2_drywell_formal_C2_480_960h_6h-00007.vtu
528.025,C2,drywell_formal_C2_480_960h_6h-00008.vtu,C2_drywell_formal_C2_480_960h_6h-00008.vtu
534.025,C2,drywell_formal_C2_480_960h_6h-00009.vtu,C2_drywell_formal_C2_480_960h_6h-00009.vtu
540.025,C2,drywell_formal_C2_480_960h_6h-00010.vtu,C2_drywell_formal_C2_480_960h_6h-00010.vtu
546.025,C2,drywell_formal_C2_480_960h_6h-00011.vtu,C2_drywell_formal_C2_480_960h_6h-00011.vtu
552.025,C2,drywell_formal_C2_480_960h_6h-00012.vtu,C2_drywell_formal_C2_480_960h_6h-00012.vtu
558.025,C2,drywell_formal_C2_480_960h_6h-00013.vtu,C2_drywell_formal_C2_480_960h_6h-00013.vtu
564.025,C2,drywell_formal_C2_480_960h_6h-00014.vtu,C2_drywell_formal_C2_480_960h_6h-00014.vtu
570.025,C2,drywell_formal_C2_480_960h_6h-00015.vtu,C2_drywell_formal_C2_480_960h_6h-00015.vtu
576.025,C2,drywell_formal_C2_480_960h_6h-00016.vtu,C2_drywell_formal_C2_480_960h_6h-00016.vtu
582.025,C2,drywell_formal_C2_480_960h_6h-00017.vtu,C2_drywell_formal_C2_480_960h_6h-00017.vtu
588.025,C2,drywell_formal_C2_480_960h_6h-00018.vtu,C2_drywell_formal_C2_480_960h_6h-00018.vtu
594.025,C2,drywell_formal_C2_480_960h_6h-00019.vtu,C2_drywell_formal_C2_480_960h_6h-00019.vtu
600.025,C2,drywell_formal_C2_480_960h_6h-00020.vtu,C2_drywell_formal_C2_480_960h_6h-00020.vtu
606.025,C2,drywell_formal_C2_480_960h_6h-00021.vtu,C2_drywell_formal_C2_480_960h_6h-00021.vtu
612.025,C2,drywell_formal_C2_480_960h_6h-00022.vtu,C2_drywell_formal_C2_480_960h_6h-00022.vtu
618.025,C2,drywell_formal_C2_480_960h_6h-00023.vtu,C2_drywell_formal_C2_480_960h_6h-00023.vtu
624.025,C2,drywell_formal_C2_480_960h_6h-00024.vtu,C2_drywell_formal_C2_480_960h_6h-00024.vtu
630.025,C2,drywell_formal_C2_480_960h_6h-00025.vtu,C2_drywell_formal_C2_480_960h_6h-00025.vtu
636.025,C2,drywell_formal_C2_480_960h_6h-00026.vtu,C2_drywell_formal_C2_480_960h_6h-00026.vtu
642.025,C2,drywell_formal_C2_480_960h_6h-00027.vtu,C2_drywell_formal_C2_480_960h_6h-00027.vtu
648.025,C2,drywell_formal_C2_480_960h_6h-00028.vtu,C2_drywell_formal_C2_480_960h_6h-00028.vtu
654.025,C2,drywell_formal_C2_480_960h_6h-00029.vtu,C2_drywell_formal_C2_480_960h_6h-00029.vtu
660.025,C2,drywell_formal_C2_480_960h_6h-00030.vtu,C2_drywell_formal_C2_480_960h_6h-00030.vtu
666.025,C2,drywell_formal_C2_480_960h_6h-00031.vtu,C2_drywell_formal_C2_480_960h_6h-00031.vtu
672.025,C2,drywell_formal_C2_480_960h_6h-00032.vtu,C2_drywell_formal_C2_480_960h_6h-00032.vtu
