cycle,cycle_start_h,wet_end_h,wet_duration_h,cycle_end_h,target_volume_m3
C1,0.000000000000,163.125247592924,163.125247592924,480.000000000000,3956.009528
C2,480.000000000000,737.084098745400,257.084098745400,960.000000000000,3956.009528
C3,960.000000000000,1233.636146520033,273.636146520033,1440.000000000000,3956.009528
