r_target_m,r_cell_m,z_m,depth_m,S_liq,S_gas,p_liq,p_gas,porosity,x^O2_liq,x^O2_gas,rhoMolar_liq,rhoMolar_gas,phase presence,O2_liq_bulk,O2_gas_bulk,O2_total_bulk
4.0,3.9333333333333336,29.833333333333332,0.15833333333333144,0.583951725464833,0.416048274535167,95475.5283832429,97099.8118097594,0.381022,3.98290195084505e-06,0.181960649865462,55344.5354395449,39.1716699092964,3.0,0.04904574773030543,1.1299086747717468,1.1789544225020523
4.0,3.9333333333333336,29.733333333333334,0.2583333333333293,0.686840545770404,0.313159454229596,95839.8446597015,97193.9712762642,0.381022,3.17865743177981e-06,0.145077696249586,55344.5445455216,39.2096533689284,3.0,0.04603885570354134,0.678749047911045,0.7247879036145863
4.0,3.9333333333333336,29.633333333333336,0.3583333333333272,0.748932062829716,0.251067937170283,96066.1743254517,97269.3330470124,0.381022,2.35168812795451e-06,0.107250676643416,55344.5502025641,39.240053932132,3.0,0.03714044175167724,0.40259737889268093,0.4397378206443582
4.0,3.9333333333333336,29.53333333333333,0.45833333333333215,0.793918090584721,0.206081909415279,96231.5569127758,97325.5485939273,0.381022,1.95840946101894e-06,0.0892632901205672,55344.5543362525,39.2627310034801,3.0,0.032787185936429805,0.27519676019953004,0.30798394613595986
4.0,3.966666666666667,29.433333333333334,0.55833333333333,0.829638513242601,0.170361486757399,96398.9608096221,97403.6325617159,0.381022,1.98001627533143e-06,0.0901757698156509,55344.558520463,39.294229685604,3.0,0.03464037975243186,0.23000650125797995,0.2646468810104118
4.0,3.966666666666667,29.333333333333332,0.6583333333333314,0.851843753844461,0.148156246155539,96479.8686189899,97426.5789069562,0.381022,2.21254942100075e-06,0.100742280920734,55344.5605427296,39.3034861260565,3.0,0.03974458065530243,0.2235181892900448,0.26326276994534725
4.0,3.966666666666667,29.233333333333334,0.7583333333333293,0.869865174841387,0.130134825158613,96545.1053985771,97442.6414280806,0.381022,2.54798537012416e-06,0.115996299357781,55344.5621733034,39.3099656660685,3.0,0.04673840447726548,0.22609470098988538,0.27283310546715084
4.0,3.966666666666667,29.133333333333336,0.8583333333333272,0.885025958574347,0.114974041425653,96598.7496691006,97452.8858413896,0.381022,2.93423831704958e-06,0.133566311210624,55344.5635141259,39.3140982103746,3.0,0.05476163574605852,0.23003562535327166,0.2847972610993302
4.0,3.966666666666667,29.03333333333333,0.9583333333333321,0.898220881586206,0.101779118413794,96644.2995310826,97458.6768378917,0.381022,3.33188000646172e-06,0.151657919455735,55344.5646526312,39.3164342685853,3.0,0.06310990516183664,0.231232009973158,0.29434191513499464
4.0,3.966666666666667,28.933333333333334,1.05833333333333,0.9100604287236,0.0899395712763995,96684.9707674732,97461.6479389097,0.381022,3.71420094568383e-06,0.169054952470178,55344.5656691966,39.3176327950895,3.0,0.07127884649302824,0.22778028164711653,0.2990591281401448
4.0,3.966666666666667,28.833333333333332,1.1583333333333314,0.921086787001294,0.0789132129987062,96724.3812554284,97463.7464552821,0.381022,4.06622018531532e-06,0.185073416682824,55344.56665425,39.3184793253734,3.0,0.0789798833436388,0.21879658241042324,0.297776465754062
4.0,3.966666666666667,28.733333333333334,1.2583333333333293,0.933061092391226,0.0669389076087743,96773.2691583764,97468.9888978372,0.381022,4.38483769561162e-06,0.19956451173333,55344.5678761885,39.3205940998282,3.0,0.08627573265891526,0.20013915320275968,0.28641488586167496
4.0,3.966666666666667,28.633333333333336,1.3583333333333272,0.947564847207166,0.0524351527928339,96844.2945556865,97481.1173948428,0.381022,4.67875689830753e-06,0.212914987749968,55344.5696514471,39.3254866742675,3.0,0.09348985548355249,0.16728343202641208,0.26077328750996454
4.0,3.966666666666667,28.53333333333333,1.4583333333333321,0.963411597169904,0.0365884028300961,96938.8614847966,97499.53268245,0.381022,4.95887375061522e-06,0.225619571265608,55344.5720151193,39.3329153086287,3.0,0.10074418947607074,0.12371615410111027,0.224460343577181
4.0,3.966666666666667,28.433333333333334,1.55833333333333,0.978010858127532,0.0219891418724678,97046.6347779456,97516.7558556626,0.381022,5.22945802873685e-06,0.237888632031948,55344.5747088806,39.3398630500236,3.0,0.10785132004399713,0.07840881065390001,0.18626013069789715
4.0,3.966666666666667,28.333333333333332,1.6583333333333314,0.990510366513975,0.00948963348602535,97153.7978713576,97507.3706640149,0.381022,5.48365008148927e-06,0.249475867026133,55344.5773873902,39.3360771101156,3.0,0.11453913186720406,0.0354828976708864,0.15002202953809046
4.0,3.966666666666667,28.233333333333334,1.7583333333333293,1.0,0.0,97246.4261891296,97246.4261891296,0.381022,5.65886737787949e-06,0.258138105288882,55344.5797026074,38.6789363362409,1.0,0.11933137968081105,0.0,0.11933137968081105
4.0,3.966666666666667,28.133333333333336,1.8583333333333272,1.0,0.0,97345.1756869013,97345.1756869013,0.381022,4.93736406236684e-06,0.224997125897077,55344.5821708216,28.0313956452422,1.0,0.10411668139241095,0.0,0.10411668139241095
4.0,3.966666666666667,28.03333333333333,1.9583333333333321,1.0,0.0,97437.706719277,97437.706719277,0.381022,4.43212009523778e-06,0.20178120814055,55344.5844836072,20.8127465171264,1.0,0.09346235142954812,0.0,0.09346235142954812
4.0,3.9333333333333336,27.933333333333334,2.05833333333333,1.0,0.0,97496.8551621025,97496.8551621025,0.381022,4.12111872665254e-06,0.187508418624531,55344.5859620049,16.1728522426371,1.0,0.08690411106324154,0.0,0.08690411106324154
4.0,3.966666666666667,27.866666666666664,2.125,1.0,0.0,97553.2093987638,97553.2093987638,0.381022,4.00997320630191e-06,0.182345966485665,55344.5873705622,14.6829497885293,1.0,0.08456033151786413,0.0,0.08456033151786413
4.0,3.9333333333333336,27.733333333333334,2.2583333333333293,1.0,0.0,97634.0466296064,97634.0466296064,0.381022,3.83619191121635e-06,0.174299157366313,55344.5893910647,12.3698327986498,1.0,0.08089572047801213,0.0,0.08089572047801213
4.0,3.966666666666667,27.666666666666668,2.3249999999999957,1.0,0.0,97688.7189268074,97688.7189268074,0.381022,3.7793689646913e-06,0.171621277408245,55344.5907575824,11.7703828739388,1.0,0.07969746821214775,0.0,0.07969746821214775
4.0,3.9333333333333336,27.53333333333333,2.458333333333332,1.0,0.0,97774.0945342248,97774.0945342248,0.381022,3.68644889778482e-06,0.167255599931092,55344.5928915203,10.7856505896886,1.0,0.07773801867981144,0.0,0.07773801867981144
4.0,3.966666666666667,27.46666666666667,2.524999999999995,1.0,0.0,97828.317818006,97828.317818006,0.381022,3.65336579653026e-06,0.165662734167026,55344.5942468151,10.5776142430435,1.0,0.07704038042147303,0.0,0.07704038042147303
4.0,3.9333333333333336,27.333333333333332,2.6583333333333314,1.0,0.0,97914.3928919218,97914.3928919218,0.381022,3.59316435845743e-06,0.162789653895639,55344.5963982359,10.1340856761687,1.0,0.07577088506061203,0.0,0.07577088506061203
4.0,3.966666666666667,27.266666666666666,2.724999999999998,1.0,0.0,97967.9004898368,97967.9004898368,0.381022,3.57053248281112e-06,0.161675956724922,55344.5977356423,10.100678443685,1.0,0.07529363700303615,0.0,0.07529363700303615
4.0,3.9333333333333336,27.133333333333336,2.858333333333327,1.0,0.0,98052.0413323918,98052.0413323918,0.381022,3.52434391220567e-06,0.159447565844311,55344.5998387176,9.89303809174504,1.0,0.07431963791410882,0.0,0.07431963791410882
4.0,3.966666666666667,27.066666666666666,2.924999999999997,1.0,0.0,98104.307998469,98104.307998469,0.381022,3.50689197358678e-06,0.158573481570365,55344.6011451073,9.94730412255206,1.0,0.07395162172747559,0.0,0.07395162172747559
4.0,3.9333333333333336,26.933333333333334,3.05833333333333,1.0,0.0,98185.023721089,98185.023721089,0.381022,3.4673386773919e-06,0.156656084265678,55344.6031625727,9.85157557483677,1.0,0.07311754383934724,0.0,0.07311754383934724
4.0,3.966666666666667,26.866666666666664,3.125,1.0,0.0,98235.5758485325,98235.5758485325,0.381022,3.45281446073872e-06,0.155919595247026,55344.6044261081,9.95502624395221,1.0,0.07281126591760251,0.0,0.07281126591760251
4.0,3.9333333333333336,26.733333333333334,3.2583333333333293,1.0,0.0,98312.1464111143,98312.1464111143,0.381022,3.41658618379509e-06,0.154163461965466,55344.6063399664,9.91440799309263,1.0,0.07204730418905962,0.0,0.07204730418905962
4.0,3.966666666666667,26.666666666666668,3.3249999999999957,1.0,0.0,98360.6243571167,98360.6243571167,0.381022,3.40382192676301e-06,0.153511815157744,55344.6075516582,10.0469782733331,1.0,0.07177813932958668,0.0,0.07177813932958668
4.0,3.9333333333333336,26.53333333333333,3.458333333333332,1.0,0.0,98432.8415351232,98432.8415351232,0.381022,3.36931598201553e-06,0.151844117465335,55344.6093567051,10.0342638933293,1.0,0.07105049708641613,0.0,0.07105049708641613
4.0,3.966666666666667,26.46666666666667,3.524999999999995,1.0,0.0,98479.0139652735,98479.0139652735,0.381022,3.35762140679126e-06,0.151246135129737,55344.6105107712,10.1845949465689,1.0,0.07080388904704571,0.0,0.07080388904704571
4.0,3.9333333333333336,26.333333333333332,3.6583333333333314,1.0,0.0,98546.9044549587,98546.9044549587,0.381022,3.32409141782247e-06,0.149632600733837,55344.6122076737,10.1878665277112,1.0,0.07009682707822394,0.0,0.07009682707822394
4.0,3.966666666666667,26.266666666666666,3.724999999999998,1.0,0.0,98590.607376842,98590.607376842,0.381022,3.31303926759486e-06,0.149068984645165,55344.6133000152,10.3494343141835,1.0,0.06986376607527446,0.0,0.06986376607527446
4.0,3.9333333333333336,26.133333333333336,3.858333333333327,1.0,0.0,98654.4034950515,98654.4034950515,0.381022,3.28024970173678e-06,0.147498186887835,55344.6148945802,10.3657986535603,1.0,0.06917231759820348,0.0,0.06917231759820348
4.0,3.966666666666667,26.066666666666666,3.924999999999997,1.0,0.0,98695.5461319462,98695.5461319462,0.381022,3.26961531432214e-06,0.146958718582279,55344.6159229281,10.5355548189907,1.0,0.06894806606608561,0.0,0.06894806606608561
4.0,3.9333333333333336,25.933333333333334,4.05833333333333,1.0,0.0,98755.6117621643,98755.6117621643,0.381022,3.23764015789232e-06,0.145433028050767,55344.6174242506,10.5674345216489,1.0,0.06827379128738315,0.0,0.06827379128738315
4.0,3.966666666666667,25.866666666666664,4.125,1.0,0.0,98794.1648419611,98794.1648419611,0.381022,3.22736379154381e-06,0.144914846159976,55344.6183878733,10.7449950269376,1.0,0.06805708942412173,0.0,0.06805708942412173
4.0,3.9333333333333336,25.733333333333334,4.258333333333329,1.0,0.0,98850.9271369998,98850.9271369998,0.381022,3.19644127974203e-06,0.143443949983746,55344.61980663,10.7977114368423,1.0,0.06740501215294889,0.0,0.06740501215294889
4.0,3.966666666666667,25.666666666666668,4.324999999999996,1.0,0.0,98886.8995229616,98886.8995229616,0.381022,3.18656673761309e-06,0.142948798798083,55344.620705749,10.98439428216,1.0,0.06719678366241653,0.0,0.06719678366241653
4.0,3.9333333333333336,25.53333333333333,4.458333333333332,1.0,0.0,98940.8622256168,98940.8622256168,0.381022,3.15699876254425e-06,0.141545143506305,55344.6220545307,11.0647681728595,1.0,0.0665732700762735,0.0,0.0665732700762735
4.0,3.966666666666667,25.46666666666667,4.524999999999995,1.0,0.0,98974.3086249194,98974.3086249194,0.381022,3.14760912491142e-06,0.141076465717595,55344.6228905135,11.2627770947627,1.0,0.06637526692079097,0.0,0.06637526692079097
4.0,3.9333333333333336,25.333333333333332,4.658333333333331,1.0,0.0,99026.043787325,99026.043787325,0.381022,3.11972632492137e-06,0.139753702004488,55344.6241836184,11.3787399836329,1.0,0.0657872893860261,0.0,0.0657872893860261
4.0,3.966666666666667,25.266666666666666,4.724999999999998,1.0,0.0,99057.0759644181,99057.0759644181,0.381022,3.11092377236288e-06,0.139315718061776,55344.6249592584,11.5910033655337,1.0,0.06560166630760703,0.0,0.06560166630760703
4.0,3.9333333333333336,25.133333333333336,4.858333333333327,1.0,0.0,99107.1390593024,99107.1390593024,0.381022,3.08508886304258e-06,0.138088970129752,55344.6262105705,11.7516122365202,1.0,0.06505687361949493,0.0,0.06505687361949493
4.0,3.966666666666667,25.066666666666666,4.924999999999997,1.0,0.0,99135.9016098267,99135.9016098267,0.381022,3.07700606271832e-06,0.137687223821748,55344.6269294819,11.981936038141,1.0,0.0648864282474999,0.0,0.0648864282474999
4.0,3.9333333333333336,24.933333333333334,5.05833333333333,1.0,0.0,99184.7828622291,99184.7828622291,0.381022,3.05363470751937e-06,0.13657408148366,55344.6281512542,12.1976539815468,1.0,0.06439358573852107,0.0,0.06439358573852107
4.0,3.966666666666667,24.866666666666664,5.125,1.0,0.0,99211.4271897839,99211.4271897839,0.381022,3.04645692131359e-06,0.136216462096082,55344.6288172213,12.4510137392534,1.0,0.06424222479487021,0.0,0.06424222479487021
4.0,3.9333333333333336,24.733333333333334,5.258333333333329,1.0,0.0,99259.5567408053,99259.5567408053,0.381022,3.02605604495473e-06,0.135238669021814,55344.630020205,12.7343621263819,1.0,0.0638120222699787,0.0,0.0638120222699787
4.0,3.966666666666667,24.666666666666668,5.324999999999996,1.0,0.0,99284.2313643712,99284.2313643712,0.381022,3.02004941390349e-06,0.134936680806339,55344.6306369399,13.0173682079748,1.0,0.06368535801750508,0.0,0.06368535801750508
4.0,3.9333333333333336,24.53333333333333,5.458333333333332,1.0,0.0,99332.0008301585,99332.0008301585,0.381022,3.0032635263241e-06,0.134122151166929,55344.6318309234,13.383790984467,1.0,0.06333138661261334,0.0,0.06333138661261334
4.0,3.966666666666667,24.46666666666667,5.524999999999995,1.0,0.0,99354.852528828,99354.852528828,0.381022,2.99880456963309e-06,0.133892217097144,55344.6324020948,13.7052494132098,1.0,0.0632373589165411,0.0,0.0632373589165411
4.0,3.9333333333333336,24.333333333333332,5.658333333333331,1.0,0.0,99402.6339310879,99402.6339310879,0.381022,2.98646032905625e-06,0.133276969782993,55344.6335963767,14.1740195530364,1.0,0.06297705082427874,0.0,0.06297705082427874
4.0,3.966666666666667,24.266666666666666,5.724999999999998,1.0,0.0,99423.8144289082,99423.8144289082,0.381022,2.98406403922259e-06,0.133141660855795,55344.634125777,14.5455319462325,1.0,0.0629265196092645,0.0,0.0629265196092645
4.0,3.9333333333333336,24.133333333333336,5.858333333333327,1.0,0.0,99471.9688954421,99471.9688954421,0.381022,2.97721600321392e-06,0.13277181210769,55344.6353293835,15.1407335739027,1.0,0.06278211285652062,0.0,0.06278211285652062
4.0,3.966666666666667,24.066666666666666,5.924999999999997,1.0,0.0,99491.6449662869,99491.6449662869,0.381022,2.9775677108716e-06,0.132761235988711,55344.635821181,15.5774111900908,1.0,0.06278953005802068,0.0,0.06278953005802068
4.0,3.9333333333333336,23.933333333333334,6.05833333333333,1.0,0.0,99540.5064369202,99540.5064369202,0.381022,2.97755721025686e-06,0.132695599488556,55344.6370424589,16.3291827275266,1.0,0.06278931001161497,0.0,0.06278931001161497
4.0,3.966666666666667,23.866666666666664,6.125,1.0,0.0,99558.8689115898,99558.8689115898,0.381022,2.98155930141802e-06,0.132849446651575,55344.6375014235,16.8506663377914,1.0,0.06287370472760952,0.0,0.06287370472760952
4.0,3.9333333333333336,23.733333333333334,6.258333333333329,1.0,0.0,99608.6438005333,99608.6438005333,0.381022,2.99010273284554e-06,0.133163540946927,55344.638745532,17.7969829190186,1.0,0.0630538659643022,0.0,0.0630538659643022
4.0,3.966666666666667,23.666666666666668,6.324999999999996,1.0,0.0,99625.8803112908,99625.8803112908,0.381022,2.99894778098752e-06,0.133534346048852,55344.6391763534,18.4289716669338,1.0,0.06324038662991252,0.0,0.06324038662991252
4.0,3.9333333333333336,23.53333333333333,6.458333333333332,1.0,0.0,99676.2998457265,99676.2998457265,0.381022,3.0182642419231e-06,0.134326470269926,55344.6404365746,19.6180919625993,1.0,0.06364772443418013,0.0,0.06364772443418013
4.0,3.966666666666667,23.46666666666667,6.524999999999995,1.0,0.0,99692.35495536,99692.35495536,0.381022,3.03346638839514e-06,0.134981293076175,55344.6408378673,20.3928068154589,1.0,0.06396830055072936,0.0,0.06396830055072936
4.0,3.9333333333333336,23.333333333333332,6.658333333333331,1.0,0.0,99743.5914301763,99743.5914301763,0.381022,3.06668976682326e-06,0.136389549376247,55344.6421185077,21.8914274640761,1.0,0.06466890089494405,0.0,0.06466890089494405
4.0,3.966666666666667,23.266666666666666,6.724999999999998,1.0,0.0,99758.5103336088,99758.5103336088,0.381022,3.09053568739339e-06,0.137429529515634,55344.6424914012,22.8565589332016,1.0,0.0651717528095332,0.0,0.0651717528095332
