time_h,reservoir_head_cm,reservoir_storage_m3,reservoir_net_flux_m3_s
95.023094356674,1200,14.0278395168091,0
95.123094356674,1200,14.0278395168091,0
95.223094356674,1200,14.0278395168091,0
95.323094356674,1200,14.0278395168091,0
95.423094356674,1200,14.0278395168091,0
95.523094356674,1200,14.0278395168091,0
95.623094356674,1200,14.0278395168091,0
95.723094356674,1200,14.0278395168091,0
95.823094356674,1200,14.0278395168091,0
95.923094356674,1200,14.0278395168091,0
96,1200,14.0278395168091,0
96.1,1021.79049799304,11.9445942713724,-0.0057867923484353
96.2,973.496566117055,11.380044666379,-0.00156819334720393
96.2333333333333,965.480742797541,11.286340763778,-0.000780865855008583
96.2515151515152,961.66023749934,11.2416795677811,-0.000682323827730416
96.2579322638146,960.363460278474,11.226520415495,-0.000656194786460058
96.261432506887,959.725246219187,11.2190597784941,-0.000592072928657303
96.2629326110609,959.443601982912,11.215767395038,-0.0006096582996929
96.2636249668335,959.320755896269,11.2143313407141,-0.000576154622620748
96.2638846002482,959.276334064955,11.2138120554468,-0.000555575281919423
96.264004431055,959.256168660848,11.2135763245697,-0.000546443781573121
96.2640763295391,959.244173487612,11.2134361025987,-0.00054174365410047
96.2641379568112,959.233949244171,11.2133165825602,-0.000538722704665892
96.2642252621133,959.219512047417,11.2131478136609,-0.000536969103566182
96.2643489446246,959.198997682991,11.2129080034843,-0.000538588174305889
96.2645241615156,959.169576345969,11.2125640719892,-0.000545247241113311
96.2647723854445,959.127021947388,11.2120666167609,-0.000556682864863184
96.2651240360104,959.065236787042,11.2113443564993,-0.000570531857039755
96.2656222076455,958.975739830882,11.2102981490508,-0.000583359548523216
96.2663279507953,958.846922796338,11.2087922951444,-0.000592698281108017
96.2673277535908,958.662986750413,11.2066421073664,-0.000597392191212066
96.2687441408844,958.401885829693,11.2035898725218,-0.000598595466244694
96.2707506895503,958.032766202337,11.1992749134426,-0.000597343969060643
96.2733146128457,957.563952117904,11.1937945394929,-0.000593748689709511
96.2769468375141,956.905075291517,11.186092357508,-0.000589031569110272
96.2820924891277,955.960230458851,11.1750472477739,-0.00059624830199014
96.289382162247,954.644029472287,11.1596610342644,-0.000586301762389156
96.299709199166,952.82176928145,11.1383590563353,-0.000572982951240749
96.3129048574514,950.575471389413,11.1121001343882,-0.000552768556712936
96.3297659763716,947.760339538257,11.0791916195327,-0.000542149911272313
96.3489689173641,944.747451776325,11.0439713645272,-0.000509474260844789
96.3708389334944,941.449347906614,11.0054169713655,-0.000489691164022248
96.3927089496247,938.319138751863,10.9688252449681,-0.000464762731914057
96.414578965755,935.429702390014,10.9350481203197,-0.000429013612456657
96.4364489818853,932.662655498817,10.9027017122154,-0.000410841643132624
96.4583189980156,930.102057432705,10.8727686632667,-0.000380188828830839
96.4801890141459,927.62608457558,10.8438248716936,-0.000367623967706924
96.5020590302762,925.320287692927,10.8168704145034,-0.000342356822001623
96.5184615423739,923.652158347425,10.7973702055434,-0.000330237507451977
96.5325208384577,922.296092820608,10.7815179808897,-0.000313201721544897
96.5485328145531,920.738681632422,10.7633120523817,-0.000315838740527204
96.5667686762173,919.037176898182,10.7434216895909,-0.000302979967548014
96.587537296446,917.185434111464,10.7217750640588,-0.000289520992270132
96.6083059166747,915.347826227798,10.700293673653,-0.000287310992486799
96.6290745369034,913.611422061072,10.6799953411638,-0.000271487736276388
96.6527276877193,911.723205361264,10.6579223404655,-0.00025922081715602
96.6763808385354,909.839915712368,10.6359069363335,-0.00025854441483238
96.7000339893514,908.061074760531,10.6151125235016,-0.000244205342094828
96.7269723000029,906.124853348772,10.5924783541407,-0.00023339508361391
96.7539106106545,904.196168226654,10.5699322829977,-0.000232486647760284
96.784590353341,902.105402439492,10.5454915105564,-0.000221289452303741
96.8152700960275,900.028505028004,10.5212128575721,-0.00021982160484031
96.845949838714,898.077011828654,10.4984001630566,-0.000206548655000114
96.8722467610167,896.520076335516,10.4801997953601,-0.000192252828497094
96.9021960336392,894.693991580315,10.458853108785,-0.000197989287902537
96.9321453062617,892.966604439011,10.438660184117,-0.00018728821269924
96.9620945788843,891.325505273914,10.4194759543511,-0.000177932625607666
96.9962034727044,889.38916246602,10.3968403658855,-0.000184340878828083
97.0350497128884,887.273960045487,10.3721139324682,-0.000176811287128593
97.0641843930264,885.720117332504,10.3539497189581,-0.000173182435503239
97.0973655565169,883.993471213855,10.3337654567458,-0.000168973565529596
