time_h,time_days,drywell_cumulative_injection_m3,floodmar_cumulative_injection_m3
0.0,0.0,0.0,0.0
1.0,0.041666666666666664,0.00579890777476915,70.97638855680698
2.0,0.08333333333333333,0.00579890777476915,246.50419589436908
3.0,0.125,0.00579890777476915,477.5077682687841
4.0,0.16666666666666666,0.00579890777476915,715.5956124119896
5.0,0.20833333333333334,0.00579890777476915,912.3762350559232
6.0,0.25,0.00579890777476915,1019.4581429325224
7.0,0.2916666666666667,0.00579890777476915,1058.1369074767074
8.0,0.3333333333333333,0.00579890777476915,1096.6255306123776
9.0,0.375,0.00579890777476915,1135.1342238595755
10.0,0.4166666666666667,0.00579890777476915,1173.6629871670052
11.0,0.4583333333333333,0.00579890777476915,1212.211820483369
12.0,0.5,1.0356755517881877,1250.780723757371
13.0,0.5416666666666666,30.786232322769507,1289.3393606047664
14.0,0.5833333333333334,60.24686218277603,1327.8568046086648
15.0,0.625,89.41762653473275,1366.3330550533296
16.0,0.6666666666666666,118.29852537694265,1404.7681119386143
17.0,0.7083333333333334,146.88955870770874,1443.1619752643721
18.0,0.75,175.19072652533413,1481.5146450304574
19.0,0.7916666666666666,203.25184897146048,1519.8254703878326
20.0,0.8333333333333334,231.12748275755175,1558.0937878279153
21.0,0.875,258.81765569846857,1596.3195973352097
22.0,0.9166666666666666,286.3223677935649,1634.502898909572
23.0,0.9583333333333334,313.6416190421949,1672.6436925508572
24.0,1.0,340.7754094437123,1710.741978258922
25.0,1.0416666666666667,367.7508415565053,1748.8067619328212
26.0,1.0833333333333333,394.5975946709338,1786.847224643846
27.0,1.125,421.3156839185655,1824.8633666044543
28.0,1.1666666666666667,447.9051092991081,1862.8551878146673
29.0,1.2083333333333333,474.3658708122695,1900.8226882745078
30.0,1.25,500.69796845775767,1938.7658679839963
31.0,1.2916666666666667,526.9127142228816,1976.6899397482664
32.0,1.3333333333333333,553.0224942313549,2014.6002154210494
33.0,1.375,579.0273147831351,2052.4966951196807
34.0,1.4166666666666667,604.9271758780377,2090.3793788441494
35.0,1.4583333333333333,630.7220775158788,2128.248266594444
36.0,1.5,656.4120196964735,2166.103358370552
37.0,1.5416666666666667,682.0161967809371,2203.947079867745
38.0,1.5833333333333333,707.55562574215,2241.7819028719887
39.0,1.625,733.0303172702228,2279.607827437894
40.0,1.6666666666666667,758.4402713650836,2317.4248535654606
41.0,1.7083333333333333,783.7854880266611,2355.2329812546946
42.0,1.75,809.0659672548828,2393.0322105055993
43.0,1.7916666666666667,834.2870822903304,2430.8238730503135
44.0,1.8333333333333333,859.4547165927769,2468.6093259252234
45.0,1.875,884.5688731547651,2506.388569160273
46.0,1.9166666666666667,909.6295519762444,2544.161602755431
47.0,1.9583333333333333,934.6367530571644,2581.9284267106627
48.0,2.0,959.5904763974743,2619.6890410259343
49.0,2.0416666666666665,984.4950353286882,2657.4443472870453
50.0,2.0833333333333335,1009.3551527572293,2695.19526421079
51.0,2.125,1034.1708310853487,2732.9417918173444
52.0,2.1666666666666665,1058.9420703130143,2770.683930106588
53.0,2.2083333333333335,1083.6688704401936,2808.4216790783976
54.0,2.25,1108.3512314668537,2846.1550387326547
55.0,2.2916666666666665,1132.9824024967024,2883.884703842183
56.0,2.3333333333333335,1157.5549915981712,2921.6113823808473
57.0,2.375,1182.068995011336,2959.335074363634
58.0,2.4166666666666665,1206.5244127361439,2997.0557797898878
59.0,2.4583333333333335,1230.921244772542,3034.7734986589544
60.0,2.5,1255.2594911204774,3072.488230970179
61.0,2.5416666666666665,1279.5395309231767,3110.1978927498335
62.0,2.5833333333333335,1303.76177932564,3147.9003604269797
63.0,2.625,1327.9262365389845,3185.5956339546688
64.0,2.6666666666666665,1352.0329025631654,3223.283713332866
65.0,2.7083333333333335,1376.0817773981375,3260.9645985615334
66.0,2.75,1400.0728610438562,3298.6382896406367
67.0,2.7916666666666665,1423.9955091004201,3336.3006029985413
68.0,2.8333333333333335,1447.838066422743,3373.9472755714023
69.0,2.875,1471.600527082394,3411.5783072648933
70.0,2.9166666666666665,1495.2828910792775,3449.1936980788705
71.0,2.9583333333333335,1518.885158413298,3486.7934480131808
72.0,3.0,1542.4073290843583,3524.377557067678
73.0,3.0416666666666665,1565.849955692057,3561.9417450446954
74.0,3.0833333333333335,1589.2136433084218,3599.4816504185505
75.0,3.125,1612.4983922411307,3636.9972730929053
76.0,3.1666666666666665,1635.7042024900945,3674.488613067774
77.0,3.2083333333333335,1658.8310740552217,3711.955670343176
78.0,3.25,1681.8790069364245,3749.398444919123
79.0,3.2916666666666665,1704.830187706875,3786.813421295159
80.0,3.3333333333333335,1727.6651114554318,3824.1970171726553
81.0,3.375,1750.3837682608262,3861.549232472382
82.0,3.4166666666666665,1772.9861581228713,3898.8700671942497
83.0,3.4583333333333335,1795.4722810413793,3936.159521338167
84.0,3.5,1817.8421370161616,3973.417594904043
85.0,3.5416666666666665,1840.0953024628204,4010.6412867586164
86.0,3.5833333333333335,1862.2313135752852,4047.8275387439116
87.0,3.625,1884.2501701174735,4084.9763507921025
88.0,3.6666666666666665,1906.1518720892163,4122.087722902925
89.0,3.7083333333333335,1927.9364194903433,4159.161655076112
90.0,3.75,1949.6038123206858,4196.198147311396
91.0,3.7916666666666665,1971.1495313206315,4233.1949686348
92.0,3.8333333333333335,1992.568628101663,4270.149845681376
93.0,3.875,2013.8611001466272,4307.062778400341
94.0,3.9166666666666665,2035.0269474553452,4343.933766791138
95.0,3.9583333333333335,2056.066170027634,4380.762810853207
96.0,4.0,2076.9787678633165,4417.549910585989
97.0,4.041666666666667,2077.5,4522.9538300048325
98.0,4.083333333333333,2077.5,4723.752481645616
99.0,4.125,2077.5,4965.325276801402
100.0,4.166666666666667,2077.5,5199.162452855119
101.0,4.208333333333333,2077.5,5268.3
102.0,4.25,2077.5,5268.3
103.0,4.291666666666667,2077.5,5268.3
104.0,4.333333333333333,2077.5,5268.3
105.0,4.375,2077.5,5268.3
106.0,4.416666666666667,2077.5,5268.3
107.0,4.458333333333333,2077.5,5268.3
108.0,4.5,2077.5,5268.3
109.0,4.541666666666667,2077.5,5268.3
110.0,4.583333333333333,2077.5,5268.3
111.0,4.625,2077.5,5268.3
