time_h,time_days,drywell_cumulative_injection_m3,floodmar_cumulative_injection_m3
0.0,0.0,0.0,0.0
1.0,0.041666666666666664,0.00579890777476915,0.48298149306797716
2.0,0.08333333333333333,0.00579890777476915,2.862042891767635
3.0,0.125,0.00579890777476915,8.563789174552488
4.0,0.16666666666666666,0.00579890777476915,19.0150920255914
5.0,0.20833333333333334,0.00579890777476915,35.642823129053234
6.0,0.25,0.00579890777476915,59.873854169106835
7.0,0.2916666666666667,0.00579890777476915,91.01414329758256
8.0,0.3333333333333333,0.00579890777476915,126.97065367568112
9.0,0.375,0.00579890777476915,167.73695723168825
10.0,0.4166666666666667,0.00579890777476915,213.31304720722153
11.0,0.4583333333333333,0.00579890777476915,263.6989168438988
12.0,0.5,1.0356755517881877,318.8945593833379
13.0,0.5416666666666666,30.786232322769507,376.4950200131532
14.0,0.5833333333333334,60.24686218277603,434.0953469026305
15.0,0.625,89.41762653473275,491.6955400499249
16.0,0.6666666666666666,118.29852537694265,549.2955994550357
17.0,0.7083333333333334,146.88955870770874,606.8955251179625
18.0,0.75,175.19072652533413,664.4953170387048
19.0,0.7916666666666666,203.25184897146048,722.0949752952102
20.0,0.8333333333333334,231.12748275755175,779.6944999669424
21.0,0.875,258.81765569846857,837.2938910539028
22.0,0.9166666666666666,286.3223677935649,894.8931485560909
23.0,0.9583333333333334,313.6416190421949,952.4922724735062
24.0,1.0,340.7754094437123,1010.091262806148
25.0,1.0416666666666667,367.7508415565053,1067.6901471358663
26.0,1.0833333333333333,394.5975946709338,1125.2889535809998
27.0,1.125,421.3156839185655,1182.887682142199
28.0,1.1666666666666667,447.9051092991081,1240.486332819465
29.0,1.2083333333333333,474.3658708122695,1298.0849056127968
30.0,1.25,500.69796845775767,1355.683400522195
31.0,1.2916666666666667,526.9127142228816,1413.2818340097565
32.0,1.3333333333333333,553.0224942313549,1470.8802228503755
33.0,1.375,579.0273147831351,1528.4785670444219
34.0,1.4166666666666667,604.9271758780377,1586.0768665918956
35.0,1.4583333333333333,630.7220775158788,1643.675121492797
36.0,1.5,656.4120196964735,1701.2733317471263
37.0,1.5416666666666667,682.0161967809371,1758.871505350644
38.0,1.5833333333333333,707.55562574215,1816.4696504510396
39.0,1.625,733.0303172702228,1874.0677670484927
40.0,1.6666666666666667,758.4402713650836,1931.6658551430044
41.0,1.7083333333333333,783.7854880266611,1989.2639147345735
42.0,1.75,809.0659672548828,2046.8619458232004
43.0,1.7916666666666667,834.2870822903304,2104.459952294231
44.0,1.8333333333333333,859.4547165927769,2162.057938106834
45.0,1.875,884.5688731547651,2219.6559032611
46.0,1.9166666666666667,909.6295519762444,2277.253847757026
47.0,1.9583333333333333,934.6367530571644,2334.8517715946136
48.0,2.0,959.5904763974743,2392.4496747738626
49.0,2.0416666666666665,984.4950353286882,2450.0475598025587
50.0,2.0833333333333335,1009.3551527572293,2507.645429236139
51.0,2.125,1034.1708310853487,2565.24328307466
52.0,2.1666666666666665,1058.9420703130143,2622.841121318121
53.0,2.2083333333333335,1083.6688704401936,2680.4389439665215
54.0,2.25,1108.3512314668537,2738.0367510198603
55.0,2.2916666666666665,1132.9824024967024,2795.6345436212987
56.0,2.3333333333333335,1157.5549915981712,2853.2323229357175
57.0,2.375,1182.068995011336,2910.8300889631405
58.0,2.4166666666666665,1206.5244127361439,2968.4278417035644
59.0,2.4583333333333335,1230.921244772542,3026.0255811569878
60.0,2.5,1255.2594911204774,3083.623307323409
61.0,2.5416666666666665,1279.5395309231767,3141.2210149734715
62.0,2.5833333333333335,1303.76177932564,3198.818698778462
63.0,2.625,1327.9262365389845,3256.416358738266
64.0,2.6666666666666665,1352.0329025631654,3314.0139948528777
65.0,2.7083333333333335,1376.0817773981375,3371.6116071222973
66.0,2.75,1400.0728610438562,3429.2091955465285
67.0,2.7916666666666665,1423.9955091004201,3486.806746321502
68.0,2.8333333333333335,1447.838066422743,3544.404245380863
69.0,2.875,1471.600527082394,3602.0016927242978
70.0,2.9166666666666665,1495.2828910792775,3659.599088351809
71.0,2.9583333333333335,1518.885158413298,3717.196432263395
72.0,3.0,1542.4073290843583,3774.793724459055
73.0,3.0416666666666665,1565.849955692057,3832.3909525039817
74.0,3.0833333333333335,1589.2136433084218,3889.9881037270825
75.0,3.125,1612.4983922411307,3947.5851781280853
76.0,3.1666666666666665,1635.7042024900945,4005.182175706987
77.0,3.2083333333333335,1658.8310740552217,4062.7790964637857
78.0,3.25,1681.8790069364245,4120.375940398489
79.0,3.2916666666666665,1704.830187706875,4177.972696923722
80.0,3.3333333333333335,1727.6651114554318,4235.56935525095
81.0,3.375,1750.3837682608262,4293.165915379935
82.0,3.4166666666666665,1772.9861581228713,4350.762377310674
83.0,3.4583333333333335,1795.4722810413793,4408.358741043171
84.0,3.5,1817.8421370161616,4465.955006577422
85.0,3.5416666666666665,1840.0953024628204,4523.551164860031
86.0,3.5833333333333335,1862.2313135752852,4581.147206665578
87.0,3.625,1884.2501701174735,4638.743131993858
88.0,3.6666666666666665,1906.1518720892163,4696.33894084487
89.0,3.7083333333333335,1927.9364194903433,4753.934633218615
90.0,3.75,1949.6038123206858,4811.530209115089
91.0,3.7916666666666665,1971.1495313206315,4869.125661980401
92.0,3.8333333333333335,1992.568628101663,4926.720985136118
93.0,3.875,2013.8611001466272,4984.316178582094
94.0,3.9166666666666665,2035.0269474553452,5041.911242318325
95.0,3.9583333333333335,2056.066170027634,5099.506176344811
96.0,4.0,2076.9787678633165,5157.10098066155
97.0,4.041666666666667,2077.5,5208.3558175372655
98.0,4.083333333333333,2077.5,5242.930418713731
99.0,4.125,2077.5,5260.823227218512
100.0,4.166666666666667,2077.5,5267.116170783434
101.0,4.208333333333333,2077.5,5268.3
102.0,4.25,2077.5,5268.3
103.0,4.291666666666667,2077.5,5268.3
104.0,4.333333333333333,2077.5,5268.3
105.0,4.375,2077.5,5268.3
106.0,4.416666666666667,2077.5,5268.3
107.0,4.458333333333333,2077.5,5268.3
108.0,4.5,2077.5,5268.3
109.0,4.541666666666667,2077.5,5268.3
110.0,4.583333333333333,2077.5,5268.3
111.0,4.625,2077.5,5268.3
112.0,4.666666666666667,2077.5,5268.3
113.0,4.708333333333333,2077.5,5268.3
114.0,4.75,2077.5,5268.3
115.0,4.791666666666667,2077.5,5268.3
116.0,4.833333333333333,2077.5,5268.3
117.0,4.875,2077.5,5268.3
118.0,4.916666666666667,2077.5,5268.3
119.0,4.958333333333333,2077.5,5268.3
120.0,5.0,2077.5,5268.3
121.0,5.041666666666667,2077.5,5268.3
122.0,5.083333333333333,2077.5,5268.3
123.0,5.125,2077.5,5268.3
124.0,5.166666666666667,2077.5,5268.3
125.0,5.208333333333333,2077.5,5268.3
126.0,5.25,2077.5,5268.3
127.0,5.291666666666667,2077.5,5268.3
128.0,5.333333333333333,2077.5,5268.3
129.0,5.375,2077.5,5268.3
130.0,5.416666666666667,2077.5,5268.3
131.0,5.458333333333333,2077.5,5268.3
132.0,5.5,2077.5,5268.3
133.0,5.541666666666667,2077.5,5268.3
134.0,5.583333333333333,2077.5,5268.3
135.0,5.625,2077.5,5268.3
136.0,5.666666666666667,2077.5,5268.3
137.0,5.708333333333333,2077.5,5268.3
138.0,5.75,2077.5,5268.3
139.0,5.791666666666667,2077.5,5268.3
140.0,5.833333333333333,2077.5,5268.3
141.0,5.875,2077.5,5268.3
